"","feature","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"175","Acrosterigma_punctolineatum",48.4194294525829,49.4988434849653,51.195065535852,47.8797224363917
"176","Acrosterigma_selene",37.2972972972973,45.945945945946,47.027027027027,30.8108108108108
"177","Acrosterigma_simplex",47.9967948717949,49.0384615384615,50.3205128205128,46.7948717948718
"178","Acrosterigma_transcendens",45.5437448896157,46.852003270646,48.323793949305,44.0719542109567
"179","Acrosterigma_unicolor",54.7008547008547,52.1367521367521,52.991452991453,52.3504273504274
"180","Acryptolaria_conferta",30.9951060358891,30.1794453507341,30.6688417618271,30.5057096247961
"181","Actaea_polyacantha",46.5634075508228,47.2410454985479,49.080348499516,45.4985479186834
"182","Actaeodes_consobrinus",46.8780971258672,47.0763131813677,48.9593657086224,45.0941526263627
"183","Actaeodes_hirsutissimus",45.3812316715543,46.4076246334311,48.1671554252199,44.5014662756598
"184","Actaeodes_tomentosus",45.4742939898624,46.3432295438088,48.0811006517017,44.5329471397538
"185","Actaeomorpha_erosa",45.1612903225806,46.3709677419355,48.4677419354839,43.8709677419355
"186","Acteocina_lepta",38.75,30.3125,30.625,30.9375
"187","Actinodendron_plumosum",53.8461538461538,54.0540540540541,54.4698544698545,53.2224532224532
"188","Actinopyga_caerulea",51.2232415902141,51.6819571865443,51.9877675840979,49.8470948012232
"189","Actinopyga_capillata",47.7987421383648,48.6972147349506,49.7753818508535,47.2596585804133
"190","Actinopyga_crassa",46.6101694915254,48.4934086629002,49.7175141242938,46.421845574388
"191","Actinopyga_echinites",45.3186467348544,46.5774980330448,48.2297403619197,43.9811172305271
"192","Actinopyga_lecanora",48.3495145631068,50.1941747572816,51.1650485436893,46.6990291262136
"193","Actinopyga_mauritiana",45.3978159126365,46.1778471138846,47.9719188767551,44.2277691107644
"194","Actinopyga_miliaris",49.0059642147117,50.0994035785288,50.4970178926441,47.117296222664
"195","Actinopyga_palauensis",47.1666666666667,47.25,48.3333333333333,44.75
"196","Actinopyga_spinea",49.6913580246914,51.0802469135803,51.5432098765432,47.2222222222222
"197","Actinopyga_varians",46.9135802469136,46.8253968253968,48.3245149911817,45.5026455026455
"198","Actinotrichia_fragilis",47.459165154265,49.0018148820327,49.7277676950998,46.551724137931
"199","Actumnus_setifer",52.1551724137931,51.2931034482759,52.1551724137931,48.9942528735632
"200","Aega_alazon",38.5321100917431,44.954128440367,45.565749235474,32.4159021406728
"201","Aega_excisa",51.7006802721088,51.7006802721088,54.6485260770975,52.6077097505669
"202","Aega_vigilans",52.8985507246377,53.2608695652174,56.1594202898551,52.1739130434783
"203","Aegaeon_lacazei",45.6079404466501,45.1116625310174,45.5583126550868,44.9131513647643
"204","Aegaeon_rathbuni",45.9262851600388,46.7992240543162,46.8477206595538,45.9262851600388
"205","Aegina_citrea",42.0975752264096,43.3829973707274,42.4773590417762,42.5942156003506
"206","Aeginura_grimaldii",42.7327327327327,44.0540540540541,42.9129129129129,43.2132132132132
"207","Aegires_exeches",45.6883509833585,46.8229954614221,48.6384266263237,44.6293494704992
"208","Aegisthus_mucronatus",31.4343259962595,31.3815757924519,31.4726897808469,31.6932815422241
"209","Aenigmathura_calliandra",37.8947368421053,55.7894736842105,52.6315789473684,31.5789473684211
"210","Aequorea_globosa",47.6190476190476,42.8571428571429,43.8095238095238,43.8095238095238
"211","Aesopia_cornuta",48.8400488400488,49.5726495726496,50.7936507936508,47.7411477411477
"212","Aesopus_clausiliformis",48.6734693877551,50.1020408163265,50.7142857142857,46.3265306122449
"213","Aethaloperca_rogaa",47.6956055734191,49.1961414790997,50.1607717041801,47.1596998928189
"214","Aethra_edentata",45.5696202531646,46.5189873417722,48.1012658227848,44.1455696202532
"215","Aethra_scruposa",45.6140350877193,46.3768115942029,47.5972540045767,44.3173150266972
"216","Aetideus_giesbrechti",100,50,100,100
"217","Aetobatus_flagellum",48.7562189054726,49.6268656716418,50.2487562189055,47.5124378109453
"218","Aetobatus_narinari",46.5654952076677,47.444089456869,48.7220447284345,45.7667731629393
"219","Aetobatus_ocellatus",45.2123830093593,46.1483081353492,47.6601871850252,44.4204463642909
"220","Afrocardium_exochum",52,50.8888888888889,52,52.3333333333333
"221","Afrocardium_infantile",52.6315789473684,51.9005847953216,54.5321637426901,53.0701754385965
"222","Afrocardium_richardi",45.4601605929586,45.9542927733169,47.313156269302,44.8424953675108
"223","Agalma_elegans",41.9811320754717,44.2452830188679,46.2264150943396,41.5094339622642
"224","Agalma_okeni",45.2117263843648,46.0586319218241,47.7524429967427,45.0814332247557
"225","Agelas_ceylonica",51.3647642679901,52.1091811414392,52.2332506203474,50.6203473945409
"226","Agelas_clathrodes",49.6590909090909,51.1363636363636,51.5909090909091,48.4090909090909
"227","Agelas_mauritiana",50.8663366336634,50.4950495049505,51.7326732673267,48.2673267326733
"228","Agelas_novaecaledoniae",39.8648648648649,45.2702702702703,45.2702702702703,37.1621621621622
"229","Aglaophamus_dibranchis",48.9499192245557,50.6462035541196,51.0500807754443,49.9192245557351
