"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585","EM_Percentile_phos_585"
"666","Ardeadoris_egretta",78.5958904109589,79.2808219178082,77.0547945205479,81.4212328767123,80.222602739726,81.5068493150685
"667","Areosquilla_indica",85.1985559566787,87.5451263537906,85.9205776173285,88.4476534296029,88.4476534296029,89.5306859205776
"668","Arete_dorsalis",83.7070254110613,82.5859491778774,81.2406576980568,82.5112107623318,81.7638266068759,84.0807174887892
"669","Arete_indicus",84.490145672665,83.4618680377035,81.662382176521,83.4618680377035,82.2622107969152,85.0899742930591
"670","Argonauta_argo",83.3654463712267,81.9524727039178,81.5671162491972,81.3102119460501,80.8606294155427,83.3654463712267
"671","Argonauta_hians",77.8715596330275,77.7981651376147,77.7247706422018,75.5963302752294,76.8807339449541,79.5963302752293
"672","Argonauta_nodosus",78.6792452830189,61.5094339622641,56.7924528301887,64.3396226415094,65.0943396226415,70.7547169811321
"673","Argyripnus_brocki",85.3633572159673,85.3633572159673,83.5209825997953,82.7021494370522,82.0880245649949,87.3080859774821
"674","Argyripnus_pharos",70.494472956968,70.00592183182,58.8383339913146,67.4299249901303,71.8663639952625,70.8004342676668
"675","Argyropelecus_aculeatus",62.7790325892464,61.6467689419495,55.7155847584406,60.1273063271831,62.2334340441759,62.4563667830219
"676","Argyropelecus_affinis",69.4323001631321,68.2871125611746,61.6084828711256,66.5938009787928,68.9004893964111,69.1549755301794
"677","Argyropelecus_hemigymnus",63.162645374067,62.4648498524562,57.7538621767054,60.3853497656657,62.4474917549037,63.3015101544871
"678","Argyropelecus_lychnus",73.5260161630638,72.9089533819021,64.7756678211712,70.8109399259525,74.2346430988495,73.35881205462
"679","Argyropelecus_olfersii",52.8571428571429,68.5714285714286,52.8571428571429,91.4285714285714,38.5714285714286,54.2857142857143
