"","feature","percentile_tos_245","percentile_tos_126","imptfeature_velocity_585","imptfeature_o2os_585","imptfeature_phos_585","imptfeature_tos_585","penalty_velocity_585","penalty_o2os_585","penalty_phos_585","penalty_tos_585","feature_velocity_585","feature_o2os_585","feature_phos_585","feature_tos_585","percentile_velocity_585","percentile_o2os_585","percentile_phos_585","percentile_tos_585","uninformed"
"3210","Eusynstyela_hartmeyeri",89.7777777777778,93.3333333333333,100,100,100,100,43.2684824902724,42.568093385214,43.5019455252918,41.011673151751,45.136186770428,46.147859922179,47.2373540856031,43.9688715953307,47.1111111111111,45,43.2222222222222,44.2222222222222,42.6459143968872
"3211","Eusynstyela_latericius",91.6201117318436,94.1340782122905,100,100,100,100,42.9130009775171,43.3040078201369,46.0410557184751,41.9354838709677,48.1915933528837,49.7556207233627,50.3421309872923,47.2140762463343,45.9830866807611,46.5083798882682,43.4357541899441,44.6927374301676,46.4320625610948
"3212","Eutaeniophorus_festivus",85.7349651269904,85.748124753257,100,100,100,100,30.2901888530631,31.1100875172731,30.6540764624597,31.1331183786274,30.7415937356057,30.7185628742515,30.7784431137725,30.7554122524182,44.1637057507567,43.9465719173575,42.9990788261613,44.0189498618239,30.7738369415016
"3213","Euterpina_acutifrons",93.9068100358423,96.415770609319,100,100,100,100,41.4572864321608,40.5778894472362,46.356783919598,39.321608040201,48.4924623115578,49.4974874371859,49.8743718592965,46.7336683417085,46.7696629213483,45.3405017921147,43.1899641577061,46.415770609319,45.7286432160804
"3214","Euthalenessa_festiva",90.6779661016949,90.2542372881356,100,100,100,100,36.646884272997,38.2789317507418,45.1038575667656,36.3501483679525,51.0385756676558,52.0771513353116,52.0771513353116,50,46.6542750929368,44.7033898305085,43.2203389830509,46.1864406779661,47.6261127596439
"3215","Euthynnus_affinis",89.4324853228963,93.3463796477495,100,100,100,100,39.7260273972603,41.027397260274,42.6712328767123,39.2465753424658,45.0684931506849,46.7123287671233,48.5616438356164,45.4109589041096,46.4613368283093,45.7925636007828,43.3463796477495,44.4227005870841,44.4520547945205
"3216","Euxanthus_exsculptus",89.4859813084112,92.5233644859813,100,100,100,100,45.0531479967294,43.4178250204415,43.9901880621423,42.5183973834832,45.6255110384301,46.443172526574,47.8331970564186,43.4995911692559,46.8457943925234,44.6261682242991,43.4579439252336,43.6915887850467,42.6001635322976
"3217","Euxanthus_huonii",89.6135265700483,92.512077294686,100,100,100,100,45.3085376162299,44.2941673710904,44.5477599323753,43.5333896872358,46.2383770076078,46.5765004226543,48.0980557903635,43.956043956044,46.8599033816425,44.6859903381643,44.5652173913043,44.2028985507246,43.0262045646661
"3218","Evermannella_ahlstromi",87.3702154036882,88.3155121648846,100,100,100,100,33.1218136457316,37.5962685757674,35.876993166287,36.3651155222909,32.6987742705283,32.1455689337238,32.5957262175941,32.5143724915934,45.0103116406966,45.2967611963428,44.5451727878506,45.7539129087246,32.2540405683914
"3219","Evermannella_balbo",100,100,100,100,100,100,92.9411764705882,100,82.3529411764706,100,41.1764705882353,38.8235294117647,51.7647058823529,52.9411764705882,50,50,50,43.3333333333333,38.8235294117647
"3220","Eviota_afelei",90.2654867256637,92.0353982300885,100,100,100,100,46.9556243550052,43.1372549019608,43.5500515995872,42.5180598555212,45.3044375644995,45.6140350877193,46.3364293085655,43.6532507739938,46.3126843657817,44.3952802359882,44.3952802359882,43.3628318584071,42.7244582043344
"3221","Eviota_albolineata",89.6935933147632,92.4791086350975,100,100,100,100,45.2682926829268,40.5853658536585,43.0243902439024,40.4878048780488,44.5853658536585,45.2682926829268,45.9512195121951,43.1219512195122,46.7966573816156,44.5682451253482,43.4540389972145,43.7325905292479,41.7560975609756
"3222","Eviota_asymbasia",100,100,100,100,100,100,45.945945945946,51.3513513513513,47.2972972972973,50.6756756756757,58.7837837837838,52.7027027027027,55.4054054054054,56.0810810810811,50,49.0384615384615,49.4444444444444,49.4791666666667,50.6756756756757
