"","feature","EM_Percentile_CombinedMetric_585","EM_Percentile_MHW_585","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"5064","Mirapecten_moluccensis",48.58934169279,69.1222570532915,60.1880877742947,43.4169278996865,73.8244514106583,57.3667711598746
"5065","Mirapecten_rastellum",53.4615384615385,72.6923076923077,66.5384615384615,46.8269230769231,76.1538461538461,65
"5066","Mithrodia_clavigera",52.6086956521739,72.1739130434783,66.2608695652174,45.4782608695652,76.6086956521739,66.2608695652174
"5067","Mitra_acuminata",52.5,71.9230769230769,65.7692307692308,45.9615384615385,75.3846153846154,65
"5068","Mitra_aurantia",54.1368743615935,72.4208375893769,66.1899897854954,46.3738508682329,76.4044943820225,62.9213483146067
"5069","Mitra_auriculoides",60.8823529411765,80,80.7352941176471,55.8823529411765,86.3235294117647,78.3823529411765
"5070","Mitra_avenacea",51.1867088607595,71.4398734177215,65.1107594936709,44.0664556962025,75,65.2689873417722
"5071","Mitra_cardinalis",53.8536585365854,73.0731707317073,66.8292682926829,47.219512195122,76.390243902439,64.4878048780488
"5072","Mitra_chrysalis",54.2319749216301,72.8317659352142,67.2936259143156,46.6039707419018,76.1755485893417,63.5318704284222
"5073","Mitra_chrysostoma",53.9568345323741,72.6618705035971,66.5981500513875,46.7625899280576,77.0811921891059,64.4398766700925
"5074","Mitra_coarctata",55.8673469387755,72.0663265306122,66.3265306122449,48.7244897959184,76.6581632653061,63.9030612244898
"5075","Mitra_contracta",53.5309503051439,75.3269398430689,67.8291194420227,47.2537053182214,77.6809067131648,66.5213600697472
"5076","Mitra_coronata",55.0952775476388,76.4705882352941,70.1739850869925,48.7986743993372,79.4531897265949,68.019884009942
"5077","Mitra_cucumerina",53.3707865168539,72.1910112359551,66.4794007490637,46.1610486891386,75.4681647940075,64.6067415730337
"5078","Mitra_decurtata",54.006243496358,72.4245577523413,66.8054110301769,47.5546305931322,77.1071800208117,64.20395421436
"5079","Mitra_eremitarum",53.2619279454723,72.0545277507303,65.9201557935735,45.6669912366115,75.2677702044791,63.4858812074002
"5080","Mitra_ferruginea",54.1501976284585,76.205533596838,69.4861660079051,47.6679841897233,78.4189723320158,68.300395256917
"5081","Mitra_fraga",53.353057199211,72.5838264299803,65.6804733727811,45.956607495069,75.8382642998028,63.7080867850099
"5082","Mitra_fulvescens",57.3127229488704,74.4351961950059,67.7764565992866,51.2485136741974,79.1914387633769,68.1331747919144
"5083","Mitra_imperialis",53.0592734225621,72.2753346080306,66.1567877629063,46.5583173996176,75.5258126195029,65.0095602294455
"5084","Mitra_incompta",62.9722921914358,77.5818639798489,76.5743073047859,60.2015113350126,82.8715365239295,83.1234256926952
"5085","Mitra_litterata",54.0498442367601,75.7788161993769,69.5482866043614,47.196261682243,77.7258566978193,67.9906542056075
"5086","Mitra_luctuosa",54.3034605146406,73.7355811889973,66.8145519077196,47.6486246672582,76.4862466725821,65.8385093167702
"5087","Mitra_lugubris",55.0665301944729,73.2855680655067,68.8843398157625,49.4370522006141,78.7103377686796,65.1995905834186
"5088","Mitra_mitra",53.2163742690059,74.9269005847953,68.4210526315789,46.2719298245614,77.9970760233918,68.859649122807
"5089","Mitra_papalis",54.1666666666667,72.9166666666667,66.468253968254,47.3214285714286,76.4880952380952,64.3849206349206
"5090","Mitra_pelliserpentis",52.321083172147,71.7601547388781,65.8607350096712,45.9381044487427,75.2417794970986,64.7969052224371
"5091","Mitra_pudica",61.5916955017301,78.2006920415225,81.6608996539792,49.4809688581315,87.5432525951557,75.4325259515571
"5092","Mitra_puncticulata",49.3810178817056,67.9504814305364,61.7606602475928,43.878954607978,72.0770288858322,58.5969738651995
"5093","Mitra_pyramis",54.7619047619048,73.8095238095238,66.0952380952381,46.8571428571429,76.0952380952381,63.9047619047619
"5094","Mitra_retusa",54.1586073500967,73.21083172147,67.0212765957447,47.2920696324952,76.5957446808511,64.4100580270793
"5095","Mitra_rosacea",50,67.7469135802469,62.1913580246914,45.3703703703704,73.3024691358025,56.3271604938272
"5096","Mitra_scutulata",52.8263103802672,71.0174717368962,65.0565262076053,44.8098663926002,74.5118191161357,62.4871531346352
"5097","Mitra_stictica",51.8276762402089,74.4125326370757,67.2323759791123,45.1044386422977,76.7624020887728,68.0156657963446
"5098","Mitra_tabanula",53.2118887823586,72.2914669223394,66.2511984659636,46.3087248322148,75.5512943432407,64.5254074784276
"5099","Mitra_tuberosa",52.5210084033613,71.218487394958,65.0210084033613,44.8529411764706,74.8949579831933,63.1302521008403
"5100","Mitra_turgida",53.2304725168756,72.5168756027001,66.5380906460945,46.9623915139826,76.1812921890068,64.9951783992285
"5101","Mitra_typha",55.7241379310345,76.1379310344827,65.3793103448276,47.5862068965517,77.1034482758621,62.0689655172414
"5102","Mitra_ustulata",54.1284403669725,73.2925586136595,68.3995922528033,48.6238532110092,78.1855249745158,65.0356778797146
"5103","Mitra_vexillum",47.9076479076479,66.8109668109668,61.6161616161616,42.5685425685426,70.8513708513709,56.998556998557
"5104","Mitrella_loyaltyensis",69.6078431372549,84.8039215686274,84.8039215686274,52.4509803921569,92.6470588235294,76.9607843137255
"5105","Mitrella_margarita",57.909604519774,73.4463276836158,73.3050847457627,50.9887005649718,77.4011299435028,70.9039548022599
"5106","Mitrella_marquesa",53.1806615776081,68.7022900763359,62.3409669211196,47.0737913486005,77.6081424936387,63.3587786259542
"5107","Mitrella_mindorensis",58.0275229357798,72.8211009174312,70.756880733945,50.3440366972477,81.7660550458716,65.2522935779816
"5108","Mitrella_moleculina",52.5474525474525,71.1288711288711,65.6343656343656,44.3556443556444,75.6243756243756,63.036963036963
"5109","Mitrella_nympha",54.1505791505791,72.8764478764479,67.1814671814672,47.2007722007722,76.6409266409266,64.3822393822394
"5110","Mitrella_puella",54.3859649122807,73.7816764132554,66.4717348927875,45.7115009746589,78.0701754385965,64.1325536062378
"5111","Mitrella_rorida",54.6666666666667,72.2051282051282,68.6153846153846,48.7179487179487,79.5897435897436,66.7692307692308
"5112","Mitromorpha_dorcas",49.9208860759494,70.8860759493671,63.6867088607595,42.0886075949367,72.4683544303797,64.1613924050633
"5113","Mitromorpha_metula",52.0868113522538,72.5375626043406,65.1085141903172,44.1569282136895,74.8747913188648,65.1919866444073
"5114","Mitsukurina_owstoni",100,100,100,100,100,100
"5115","Miyakea_nepa",44.4130127298444,67.1852899575672,58.2743988684583,38.048090523338,70.2970297029703,57.7086280056577
"5116","Miyakella_nepa",52.6476578411405,70.6720977596741,64.969450101833,44.7046843177189,74.6435845213849,62.5254582484725
"5117","Mobula_alfredi",53.4333070244672,74.9802683504341,67.4822415153907,45.3827940015785,78.9265982636148,67.0876085240726
"5118","Mobula_birostris",52.4465885596141,74.776016540317,67.815299793246,45.9682977257064,77.4638180565127,68.7112336319779
"5119","Mobula_eregoodootenkee",32.7902034207064,37.4557231049489,46.1795364841615,31.1608136828256,36.1198259285497,37.7087339338124
"5120","Mobula_japanica",42.4433249370277,67.3803526448363,55.2896725440806,35.8942065491184,67.1284634760705,57.4307304785894
"5121","Mobula_kuhlii",32.8878088294856,37.4746861077359,45.9396516808424,31.0550830295666,35.9254759011746,37.7885783718105
"5122","Mobula_tarapacana",31.9440757455092,38.5806565790638,49.7655074772144,30.3424475710114,36.7578090434475,38.6249004512875
"5123","Mobula_thurstoni",32.5305410122164,40.1221640488656,49.2582897033159,30.9598603839442,38.2722513089005,40.1134380453752
"5124","Modeeria_rotunda",56.8807339449541,97.7064220183486,83.0275229357798,50.4587155963303,94.4954128440367,86.697247706422
"5125","Modiolatus_flavidus",32.6391840203995,50,48.1512962175946,32.5329366765831,41.1389715257119,44.0713982150446
"5126","Modiolus_aratus",50.4413619167718,69.1046658259773,63.3039092055485,44.0100882723833,72.1311475409836,59.5208070617907
"5127","Modiolus_auriculatus",53.816499614495,75.1734772552043,68.9282960678489,46.8774094063223,77.4094063222822,68.0801850424055
"5128","Modiolus_capax",57.3529411764706,91.1764705882353,71.3235294117647,50.7352941176471,88.9705882352941,83.0882352941177
"5129","Modiolus_demissus",50,75.5769230769231,62.5,45.7692307692308,85,63.2692307692308
"5130","Modiolus_hanleyi",100,100,100,100,100,100
"5131","Modiolus_philippinarum",48.1897627965044,70.0374531835206,62.6716604244694,41.4481897627965,73.2833957553059,60.6741573033708
"5132","Modulus_tectum",52.9574861367837,72.0887245841035,66.543438077634,46.2107208872458,74.9537892791128,64.8798521256932
"5133","Moira_atropos",58.5185185185185,92.2222222222222,79.6296296296296,56.2962962962963,92.2222222222222,84.0740740740741
"5134","Mola_mola",36.8824701195219,47.0966135458167,49.2978087649402,35.109561752988,51.195219123506,49.2081673306773
"5135","Molgula_incidata",93.3333333333333,93.3333333333333,86.6666666666667,93.3333333333333,100,86.6666666666667
"5136","Monacanthus_chinensis",48.2926829268293,70.3658536585366,62.0731707317073,40.9756097560976,73.9024390243902,61.219512195122
"5137","Monacoa_grimaldii",34.7794771851036,49.1462949625048,61.5303139431428,34.6269542007372,59.733932127272,60.7422785239164
"5138","Monacoa_niger",35.4977995516067,42.9295026156273,56.6470148634061,33.172797475712,54.5545129951009,52.2129037615212
"5139","Monanchora_clathrata",50.7381507381507,71.017871017871,64.6464646464647,43.5120435120435,73.970473970474,65.2680652680653
"5140","Monanchora_dianchora",45.945945945946,65.7657657657658,79.2792792792793,57.6576576576577,87.3873873873874,63.0630630630631
"5141","Monanchora_unguiculata",43.1596091205212,65.9609120521173,57.328990228013,36.8078175895765,66.1237785016287,52.9315960912052
"5142","Monetaria_annulus",54.3019480519481,75.7305194805195,69.4805194805195,46.7532467532467,78.3279220779221,68.4253246753247
"5143","Monilea_belcheri",53.0109489051095,72.1715328467153,66.2408759124088,45.6204379562044,76.7335766423358,65.1459854014599
"5144","Monilea_callifera",50.7757404795487,68.2651622002821,62.3413258110014,44.5698166431594,73.0606488011284,58.2510578279267
"5145","Monocentris_japonica",48.6193293885602,69.3293885601578,62.4260355029586,41.025641025641,72.879684418146,60.2564102564103
"5146","Monochirus_trichodactylus",49.3273542600897,70.8520179372197,64.5739910313901,46.6367713004484,83.8565022421525,73.542600896861
"5147","Monodactylus_argenteus",32.4767198440771,39.644842272432,47.8163574676965,31.8847902981304,44.0193459900383,41.8537500902332
"5148","Monodonta_labio",50,67.7672955974843,62.4213836477987,43.5534591194969,71.3836477987421,56.6037735849057
"5149","Monomitopus_longiceps",51.5151515151515,76.3636363636364,69.0909090909091,47.2727272727273,84.2424242424242,65.4545454545455
"5150","Monomitopus_pallidus",47.9347826086957,75.2173913043478,58.5869565217391,41.0869565217391,69.6739130434783,57.1739130434783
"5151","Monoplex_aquatilis",52.6239067055394,75.0728862973761,68.1486880466472,45.9912536443149,77.6967930029155,69.0233236151604
"5152","Monostaechas_quadridens",57.8571428571429,92.1428571428571,78.9285714285714,55.7142857142857,92.1428571428571,83.9285714285714
"5153","Monotaxis_grandoculis",52.8288543140028,75.035360678925,68.1753889674682,46.039603960396,78.0763790664781,69.1654879773692
"5154","Montastraea_curta",54.5596258768511,76.1496492595479,69.8363211223695,48.1683554169914,79.2673421667966,68.1995323460639
"5155","Montastrea_salebrosa",50.7936507936508,70.6349206349206,61.9047619047619,46.8253968253968,78.5714285714286,56.547619047619
"5156","Montipora_aequituberculata",52.9056603773585,74.7169811320755,68.1509433962264,45.3584905660377,77.8867924528302,68.377358490566
"5157","Montipora_angulata",53.0566037735849,74.4905660377358,68.2264150943396,46.4905660377358,77.2830188679245,68.3018867924528
"5158","Montipora_australiensis",53.5768645357686,75.1902587519026,69.3302891933029,47.7168949771689,78.0821917808219,68.3409436834094
"5159","Montipora_calcarea",53.96370582617,73.0659025787966,67.3352435530086,47.0869149952244,75.7402101241643,65.1384909264565
"5160","Montipora_caliculata",52.9710144927536,74.8550724637681,68.4782608695652,46.7391304347826,78.4057971014493,68.9130434782609
"5161","Montipora_capitata",53.0677290836653,73.6254980079681,66.1354581673307,46.6932270916335,76.7330677290837,67.1713147410359
"5162","Montipora_capricornis",54.0328895849648,75.4111198120595,69.3030540328896,47.2983555207518,77.8386844166014,67.8935003915427
"5163","Montipora_cebuensis",52.4731182795699,70.8602150537634,64.6236559139785,44.8387096774194,73.8709677419355,64.1935483870968
"5164","Montipora_crassituberculata",53.8586515028432,75.6295694557271,68.6433793663688,46.6287571080422,77.7416734362307,67.587327376117
"5165","Montipora_danae",53.876898481215,75.2997601918465,68.7450039968026,46.7625899280576,78.1774580335731,67.6258992805755
"5166","Montipora_efflorescens",54.0123456790123,75.3086419753086,69.1358024691358,47.1450617283951,77.7777777777778,68.1327160493827
"5167","Montipora_effusa",53.5686876438987,75.3645433614735,69.224865694551,47.2755180353032,77.8204144282425,68.2271680736761
"5168","Montipora_floweri",53.7567776917119,75.4453911696359,69.5584817970565,47.4825716498838,77.9240898528273,68.1642137877614
"5169","Montipora_foliosa",53.92,75.52,68.64,46.32,77.44,67.68
"5170","Montipora_foveolata",52.8409090909091,72.9707792207792,66.2337662337662,46.5097402597403,76.461038961039,66.7207792207792
"5171","Montipora_grisea",53.7005163511188,73.5800344234079,66.8674698795181,47.3321858864028,76.0757314974182,65.92082616179
"5172","Montipora_hispida",53.3485540334855,74.8097412480974,68.8736681887367,46.7275494672755,77.3972602739726,68.2648401826484
"5173","Montipora_hoffmeisteri",53.4522885958107,75.0193948797517,68.9681923972071,47.3235065942591,77.9674166020171,67.8820791311094
"5174","Montipora_incrassata",53.7444933920705,73.215859030837,68.2819383259912,47.7533039647577,76.2995594713656,65.5506607929515
"5175","Montipora_informis",53.1179564237416,74.6055597295267,68.5950413223141,45.9804658151766,77.4605559729527,68.6701728024042
"5176","Montipora_lobulata",58.498023715415,77.8656126482213,73.7154150197628,50.098814229249,80.9288537549407,74.0118577075099
"5177","Montipora_millepora",53.893600616808,75.4818812644564,69.4680030840401,47.5713184271396,78.0262143407864,68.2343870470316
