"","feature","EM_Feature_CombinedMetric_585","EM_Feature_MHW_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"31","Acanthogorgia_spinosa",41.025641025641,59.4017094017094,79.9145299145299,37.6068376068376,36.7521367521368,50.4273504273504
"32","Acanthophora_spicifera",55.0230946882217,56.7551963048499,58.6605080831409,50.4041570438799,43.2448036951501,48.7875288683603
"33","Acanthopleura_gemmata",61.5976900866217,57.5553416746872,56.3041385948027,50.2406159769009,43.4071222329163,50.818094321463
"34","Acanthopleura_spinosa",59.1715976331361,51.4792899408284,47.810650887574,46.6272189349112,48.4023668639053,38.1065088757396
"35","Acanthosphex_leurynnis",59.811320754717,56.8867924528302,50.2830188679245,48.2075471698113,46.6037735849057,42.7358490566038
"36","Acanthosquilla_derijardi",51.5102481121899,54.8543689320388,55.9870550161812,48.1121898597627,42.3408845738943,44.9298813376483
"37","Acanthosquilla_multifasciata",53.5377358490566,54.3867924528302,55,47.6415094339623,41.9811320754717,44.5283018867925
"38","Acanthurus_achilles",47.5040257648953,53.3011272141707,61.4331723027375,51.610305958132,42.5925925925926,49.194847020934
"39","Acanthurus_albipectoralis",41.014799154334,64.4820295983087,78.8583509513742,38.9006342494715,36.3636363636364,55.8139534883721
"40","Acanthurus_auranticavus",50.7552870090634,54.1540785498489,55.0604229607251,45.166163141994,43.3534743202417,41.3897280966767
"41","Acanthurus_blochii",50.944669365722,54.1835357624831,56.3427800269906,46.5587044534413,43.1174089068826,43.9946018893387
"42","Acanthurus_dussumieri",51.1549295774648,55.6056338028169,56.2816901408451,46.6478873239437,42.3098591549296,44.056338028169
"43","Acanthurus_fowleri",61.1238532110092,55.6192660550459,49.197247706422,49.8853211009174,45.4128440366972,41.3990825688073
"44","Acanthurus_grammoptilus",52,69,52,73.5,35.5,43.5
"45","Acanthurus_guttatus",50.9090909090909,53.1313131313131,57.037037037037,47.8114478114478,43.9057239057239,45.1178451178451
"46","Acanthurus_japonicus",61.2936344969199,55.5441478439425,50.6160164271047,48.5626283367557,47.6386036960986,42.4024640657084
"47","Acanthurus_leucopareius",46.4727272727273,53.6727272727273,60.3636363636364,49.0909090909091,41.6727272727273,47.3454545454545
"48","Acanthurus_lineatus",54.6931407942238,56.61853188929,57.8820697954272,49.6389891696751,43.0204572803851,47.6534296028881
"49","Acanthurus_maculiceps",52.8462192013594,52.8462192013594,49.6176720475786,48.1733220050977,44.4350042480884,41.4613423959218
"50","Acanthurus_mata",53.8071065989848,57.0783981951495,57.1347997743937,49.6333897349126,41.5679639029893,46.8133107727016
"51","Acanthurus_nigricans",53.9106145251397,56.6480446927374,56.927374301676,49.5530726256983,42.3463687150838,47.2067039106145
"52","Acanthurus_nigricauda",50.3759398496241,53.3151059466849,55.6390977443609,46.2064251537936,43.403964456596,43.1989063568011
"53","Acanthurus_nigrofuscus",54.8293811451706,56.390977443609,58.2995951417004,50.0867553499132,43.2041642567958,48.5251590514748
"54","Acanthurus_nigroris",49.7354497354497,52.9100529100529,55.2910052910053,47.4206349206349,43.1216931216931,43.1216931216931
"55","Acanthurus_nubilus",52.9028757460662,55.7243624525231,58.2202930005426,50.8952794357027,41.3998914812805,48.2365708084645
"56","Acanthurus_olivaceus",52.1660649819495,55.294825511432,55.7160048134777,46.7509025270758,43.5619735258724,44.8856799037304
"57","Acanthurus_pyroferus",52.5694034258712,55.8180744240992,56.2315416420555,49.0253987005316,42.2917897223863,46.4855286473715
