"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"4132","Hygophum_macrochir",30.6888168557536,32.3811453268504,31.5113452188006,30.2728254997299,32.0880605078336
"4133","Hygophum_proximum",30.1894757510308,31.5948360494797,31.1515806008247,31.2580993520518,30.6636559984292
"4134","Hygophum_reinhardtii",30.1717933339045,30.0608345471682,30.7685716733785,30.2347699425927,30.1118156113444
"4135","Hymedesmia_parvispicula",30,35,35,35,35
"4136","Hymeniacidon_agminata",33.6875,34.5625,34.5625,33.90625,33.6875
"4137","Hymeniacidon_heliophila",34.0597014925373,34.2686567164179,33.955223880597,32.7014925373134,32.3188405797101
"4138","Hymenocephalus_barbatulus",30.2054794520548,30.2054794520548,35,32.6027397260274,33.8013698630137
"4139","Hymenocephalus_striatulus",35,35,35,35,31.8181818181818
"4140","Hymenocera_picta",34.1444444444444,32.6666666666667,34.5333333333333,32.4748322147651,32.6666666666667
"4141","Hymenopenaeus_equalis",33.8202247191011,34.3707865168539,34.5674157303371,31.090021691974,30.438202247191
"4142","Hyotissa_hyotis",34.0666666666667,32.4333333333333,34.5333333333333,32.2719734660033,32.6666666666667
"4143","Hyperhalosydna_striata",34.2183622828784,32.8287841191067,34.6526054590571,31.6301969365427,31.2439024390244
"4144","Hyperioides_longipes",34.5070422535211,33.8908450704225,33.1514084507042,34.6302816901408,33.5211267605634
"4145","Hyperoglyphe_japonica",35,35,35,35,30
"4146","Hyperoodon_planifrons",30.2884615384615,30.2884615384615,30.2884615384615,30.2884615384615,35
"4147","Hypnea_boergesenii",30.3803131991051,31.5415019762846,33.6708860759494,31.2747524752475,31.1777301927195
"4148","Hypnea_musciformis",34.0120967741936,32.2479838709677,33.9415322580645,32.1549079754601,32.883064516129
"4149","Hypnea_pannosa",34.2341356673961,32.5492341356674,34.4638949671772,32.375,32.7024070021882
"4150","Hypnea_valentiae",34.2391304347826,32.4130434782609,34.3152173913043,32.3519736842105,32.7173913043478
