"","feature","EM_ClimatePriorityArea_CombinedMetric_585","EM_ClimatePriorityArea_MHW_585","EM_ClimatePriorityArea_velocity_585"
"2429","Cypraea_punctata",35.84229390681,37.2043010752688,37.5627240143369
"2430","Cypraea_pyriformis",35.2517985611511,40.7673860911271,41.0071942446043
"2431","Cypraea_quadrimaculata",36.0611510791367,38.4892086330935,36.6906474820144
"2432","Cypraea_schilderorum",40.0793650793651,38.0952380952381,37.7551020408163
"2433","Cypraea_stolida",34.6504559270517,36.0182370820669,36.854103343465
"2434","Cypraea_teres",35.6125356125356,37.3931623931624,37.5356125356125
"2435","Cypraea_testudinaria",34.9406528189911,37.6854599406528,37.5370919881306
"2436","Cypraea_tigris",40.5278592375367,37.4193548387097,36.8328445747801
"2437","Cypraea_ursellus",33.6578581363004,34.0751043115438,32.8233657858136
"2438","Cypraea_ventriculus",39.5408163265306,36.5433673469388,37.4362244897959
"2439","Cypraea_walkeri",37.1534195933457,38.909426987061,36.9685767097967
"2440","Cypraecassis_rufa",39.2649903288201,37.9110251450677,37.6531270148291
"2441","Cyprinocirrhites_polyactis",40.2680652680653,36.8298368298368,37.0629370629371
"2442","Cypselurus_angusticeps",30.9435114503817,30.6992366412214,30.5618320610687
"2443","Cypselurus_hexazona",37.3716632443532,38.8090349075975,35.9342915811088
"2444","Cypselurus_naresii",30.9080492695503,30.7075336579777,30.6717272987683
"2445","Cypselurus_oligolepis",37.0854271356784,39.2964824120603,36.0804020100502
"2446","Cypselurus_poecilopterus",36.0026472534745,38.0542686962277,38.6499007279947
"2447","Cyrtomaia_horrida",35.0176856998484,35.9272359777665,37.544214249621
"2448","Cyrtomaia_lamellata",36.4468864468864,41.7582417582418,46.3369963369963
"2449","Cyrtomaia_murrayi",36.384571099597,36.9027058146229,38.3995394358089
"2450","Cystodytes_dellechiajei",38.8505747126437,36.7049808429119,36.7816091954023
"2451","Cystodytes_luteus",35.2059925093633,37.5780274656679,36.4544319600499
"2452","Cystodytes_punctatus",35.1226993865031,38.3435582822086,42.1779141104294
"2453","Cystodytes_solitus",35.1767905711695,36.6273798730734,38.1686310063463
"2454","Cystodytes_violatinctus",33.2155477031802,36.5724381625442,42.9328621908127
"2455","Cytaeis_tetrastyla",35.3248259860789,36.4269141531323,36.4269141531323
"2456","Cyttomimus_affinis",36.4783653846154,37.3197115384615,38.3413461538462
"2457","Cyttopsis_cypho",37.6653696498054,39.8443579766537,37.5875486381323
"2458","Cyttopsis_rosea",30.5811440918913,30.4446718981008,30.3423177527579
"2459","Dacrydium_zebra",35.7664233576642,32.8467153284672,33.5766423357664
"2460","Dactylonia_ascidicola",39.5458845789972,36.9441816461684,36.7076631977294
"2461","Dactyloptena_orientalis",39.9556048834628,37.1254162042175,36.6814650388457
"2462","Dactyloptena_tiltoni",34.9120433017591,38.2949932341001,38.5656292286874
"2463","Dactylopus_dactylopus",36.580310880829,37.6165803108808,33.9896373056995
"2464","Dactylosaster_cylindricus",39.7251308900524,36.1256544502618,36.6492146596859
"2465","Dactylospongia_elegans",38.9875082182774,36.094674556213,36.4891518737673
"2466","Dactylospongia_metachromia",42.8104575163399,35.6209150326797,36.7647058823529
"2467","Dactylotrochus_cervicornis",34.2517814726841,34.58432304038,37.5771971496437
"2468","Daira_perlata",39.9120050282841,37.6492771841609,37.3350094280327
"2469","Dalatias_licha",34.8194130925508,38.5440180586907,41.3656884875846
"2470","Daldorfia_horrida",39.3763213530655,37.0507399577167,36.6807610993657
"2471","Daldorfia_leprosa",40.0485436893204,37.2572815533981,36.8325242718447
"2472","Danacetichthys_galathenus",30.6058221872541,30.5566483084186,30.7041699449253
"2473","Danafungia_horrida",35.7764876632801,37.5181422351234,37.6632801161103
"2474","Danafungia_scruposa",41.6367552045944,37.0423546302943,36.1809045226131
"2475","Danaphos_oculatus",31.5543435917413,34.2228282041293,32.5866770549279
"2476","Danaphryne_nigrifilis",32.1684224743382,30.2032685035116,30.4024851431659
"2477","Daphnella_ornata",34.9630996309963,36.7158671586716,38.3763837638376
"2478","Daphnella_varicosa",35.9085963003264,37.5408052230686,33.2970620239391
"2479","Dardanus_australis",38.2385120350109,35.5032822757112,37.089715536105
"2480","Dardanus_brachyops",62.0805369127517,40.2684563758389,38.9261744966443
"2481","Dardanus_dearmatus",40.5093996361431,36.0218314129776,34.8696179502729
"2482","Dardanus_deformis",40.3128760529483,37.6654632972323,37.0637785800241
"2483","Dardanus_gemmatus",39.4450489662677,37.1055495103373,36.7247007616975
"2484","Dardanus_guttatus",36.7638310529447,37.5966686496133,37.5371802498513
"2485","Dardanus_hessii",36.2212943632568,37.4739039665971,33.6116910229645
"2486","Dardanus_lagopodes",39.6315789473684,36.7368421052632,36.8421052631579
"2487","Dardanus_megistos",39.6964389959136,36.8943374197315,36.7192060712201
"2488","Dardanus_pedunculatus",39.8779811425402,36.9384359400998,36.4947310038824
"2489","Dardanus_scutellatus",39.9157134256472,37.5677302829621,37.2065021071644
"2490","Dardanus_setifer",36.2349610757254,37.791932059448,37.5088464260439
"2491","Dardanus_woodmasoni",35.1195383347073,36.6859027205276,36.8507831821929
"2492","Dascyllus_aruanus",40.2620607504467,37.2840976771888,36.986301369863
"2493","Dascyllus_flavicaudus",41.726618705036,37.7697841726619,40.1079136690648
"2494","Dascyllus_melanurus",35.186656076251,37.648927720413,35.6632247815727
"2495","Dascyllus_reticulatus",35.9085290482077,38.0716934487021,37.5772558714462
"2496","Dascyllus_trimaculatus",39.9887196841512,37.0558375634518,36.4918217710096
"2497","Dasmosmilia_lymani",100,100,100
"2498","Dasyatis_thetidis",31.4285714285714,31.4285714285714,32.3809523809524
"2499","Dasybranchus_caducus",31.9882230689297,33.1659161759612,32.9407689643228
"2500","Dasybranchus_lumbricoides",39.6542409508374,36.8449486763911,36.4127498649379
"2501","Dasycaris_symbiotes",36.6666666666667,38.3720930232558,37.8294573643411
"2502","Dasycaris_zanzibarica",36.2629246676514,37.5923190546529,37.8877400295421
"2503","Davila_plana",36.8472906403941,38.2266009852217,35.1724137931034
"2504","Deania_quadrispinosa",40.3508771929825,38.5964912280702,38.5964912280702
"2505","Decapterus_macarellus",39.7608370702541,36.5719980069756,37.219730941704
"2506","Decapterus_macrosoma",40.6071019473081,36.9988545246277,36.5406643757159
"2507","Decapterus_maruadsi",36.5728900255754,39.2156862745098,35.1236146632566
"2508","Decapterus_muroadsi",32.2292952467121,30.3809739231589,30.3357352893657
"2509","Decapterus_tabl",40.0513478818999,37.5267436884895,37.3127941805734
"2510","Decatopecten_plica",36.7248062015504,38.3720930232558,33.5271317829457
"2511","Decatopecten_radula",36.2204724409449,37.7165354330709,37.7952755905512
"2512","Decipisagitta_decipiens",38.2475660639777,36.5438108484006,36.4742698191933
"2513","Delectopecten_alcocki",35.9692092372288,38.4884534639608,34.9895031490553
"2514","Delectopecten_musorstomi",34.792243767313,35.6232686980609,36.9529085872576
"2515","Delphinus_capensis",48.5564304461942,42.257217847769,37.7952755905512
"2516","Delphinus_delphis",32.9037675233645,30.5454147196262,30.607476635514
"2517","Deltocyathus_italicus",31.3994828700711,32.3852617970265,32.7084680025856
"2518","Deltocyathus_ornatus",33.9009287925697,35.1393188854489,42.4148606811146
"2519","Deltocyathus_suluensis",34.9642660802639,35.0192413413964,37.8229796591534
"2520","Demania_garthi",43.804347826087,38.0434782608696,42.0652173913044
"2521","Demania_mortenseni",40.6104844061048,36.2309223623092,38.2216323822163
"2522","Dendostrea_folium",37.1428571428571,39.3650793650794,35.978835978836
"2523","Dendostrea_frons",34.4437041972019,35.9760159893404,36.8421052631579
"2524","Dendrilla_rosea",32.6568265682657,35.7933579335793,41.1439114391144
"2525","Dendrochirus_biocellatus",40.9318996415771,35.5555555555556,35.4838709677419
"2526","Dendrochirus_brachypterus",40.4915912031048,36.5459249676585,36.3518758085382
"2527","Dendrochirus_zebra",36.0402684563758,37.6510067114094,37.7181208053691
"2528","Dendrodoris_arborescens",37.784371909001,40.3560830860534,38.37784371909
"2529","Dendrodoris_denisoni",43.0212014134276,37.8091872791519,35.7773851590106
"2530","Dendrodoris_fumata",41.2541254125413,36.963696369637,37.3597359735974
