"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585","EM_Percentile_velocity_585"
"4091","Hoplolatilus_fronticinctus",59.9231754161332,70.0384122919334,63.8924455825864,70.8066581306018,67.0934699103713,67.7336747759283
"4092","Hoplolatilus_marcosi",65.8834586466165,71.1466165413534,66.8233082706767,72.4624060150376,67.9511278195489,71.4285714285714
"4093","Hoplolatilus_starcki",67.4261603375527,70.7172995780591,65.8227848101266,71.8987341772152,68.0168776371308,70.6329113924051
"4094","Hoplophrys_oatesi",68.3690280065898,71.9110378912685,67.5453047775947,72.9818780889621,69.7693574958814,71.169686985173
"4095","Hoplostethus_mediterraneus",82.4588880187941,82.0673453406421,76.742364917776,84.9647611589663,77.9953014878622,85.1213782302271
"4096","Howella_brodiei",50.6023367031903,48.5864761789455,53.8955142563109,51.0291179853502,48.317089412192,52.5485804225437
"4097","Huenia_brevifrons",65.3172866520788,70.8971553610503,67.0678336980306,72.1006564551422,68.9277899343545,71.5536105032823
"4098","Huenia_heraldica",62.8640776699029,70.2669902912621,65.7766990291262,70.3883495145631,68.0825242718447,70.0242718446602
"4099","Huenia_pacifica",68.1122448979592,72.7040816326531,66.3265306122449,72.9591836734694,68.7074829931973,71.0884353741497
"4100","Hyalinoecia_tubicola",100,100,100,100,100,100
"4101","Hyalocylis_striata",71.591472483887,70.5007436787308,67.0302429350521,69.2117005453644,64.8983639067923,73.2771442736738
"4102","Hyaloteuthis_pelagica",80.6215083798883,75.3491620111732,73.6382681564246,76.4315642458101,72.695530726257,80.2025139664805
"4103","Hyastenus_borradailei",69.6917808219178,72.0890410958904,71.0616438356164,74.1438356164384,70.2054794520548,76.1986301369863
"4104","Hyastenus_diacanthus",57.1428571428571,68.5064935064935,63.6363636363636,68.8311688311688,65.4220779220779,67.3701298701299
"4105","Hyastenus_hilgendorfi",64.0866873065015,70.5882352941177,66.6666666666667,70.1754385964912,67.9050567595459,70.3818369453044
"4106","Hyattella_intestinalis",63.1004366812227,71.7248908296943,64.7379912663755,71.7248908296943,68.0131004366812,69.1048034934498
"4107","Hydatina_amplustre",68.0604982206406,71.797153024911,65.8362989323843,72.6868327402135,68.8612099644128,72.4199288256228
"4108","Hydatina_physis",70.1725554642564,72.5554642563681,67.9539852095316,74.4453574363188,71.240755957272,73.7058340180772
"4109","Hydatina_zonata",56.4296520423601,68.9863842662632,63.6913767019667,68.5325264750378,65.9606656580938,66.4145234493192
"4110","Hydnophora_exesa",67.1875,72.265625,65.234375,72.94921875,68.359375,70.41015625
"4111","Hydnophora_microconos",70.8012326656394,72.1109399075501,68.3359013867488,74.7303543913713,70.5701078582434,73.8058551617874
"4112","Hydroclathrus_clathratus",70.8301599390708,72.3533891850724,69.0784463061691,75.019040365575,70.982482863671,74.3335872048743
"4113","Hydroides_albiceps",59.1251885369532,69.5324283559578,64.5550527903469,69.9849170437406,66.8174962292609,68.4766214177979
"4114","Hydroides_elegans",65.3752717043856,61.373225930188,67.2292545710267,62.8564122235008,55.8368495077356,67.011891062524
"4115","Hydroides_heterocerus",54.5454545454545,67.9841897233202,62.8458498023715,65.6126482213439,63.2411067193676,66.798418972332
"4116","Hydroides_longispinosus",63.7135922330097,71.6019417475728,64.4417475728155,71.6019417475728,67.8398058252427,70.1456310679612
"4117","Hydroides_tuberculatus",63.855421686747,71.566265060241,64.6987951807229,71.8072289156626,67.710843373494,69.8795180722892
"4118","Hydrolagus_lemures",80.9756097560976,79.0243902439024,65.8536585365854,86.8292682926829,75.609756097561,84.8780487804878
"4119","Hydrolithon_farinosum",68.1647940074906,73.0337078651685,65.6367041198502,73.2209737827715,69.3820224719101,72.1910112359551
"4120","Hydrolithon_onkodes",71.9861231569818,73.0268863833478,69.2107545533391,75.4553339115351,71.4657415437988,76.2359063313096
"4121","Hydrolithon_reinboldii",76.1280931586608,80.3493449781659,71.7612809315866,81.6593886462882,76.5647743813683,80.9315866084425
"4122","Hydrophis_caerulescens",59.4516594516595,69.5526695526696,63.4920634920635,69.98556998557,66.9552669552669,67.965367965368
"4123","Hydrophis_coggeri",66.0223804679552,72.4313326551373,65.0050864699898,71.8209562563581,67.1414038657172,70.3967446592065
"4124","Hydrophis_cyanocinctus",59.2329545454545,69.7443181818182,63.3522727272727,69.7443181818182,66.9034090909091,68.0397727272727
"4125","Hydrophis_elegans",55.7077625570776,68.3409436834094,63.1659056316591,67.2754946727549,65.4490106544901,66.2100456621005
"4126","Hydrophis_lapemoides",58.0693815987934,68.9291101055807,63.6500754147813,69.3815987933635,66.3650075414781,67.8733031674208
"4127","Hydrophis_macdowelli",55.9223300970874,67.7669902912621,63.1067961165049,67.378640776699,65.0485436893204,69.5145631067961
