"","feature","EM_Percentile_tos_585","MM-NorESM2-MM_Percentile_tos_585","MM-IPSL-CM6A-LR_Percentile_tos_585","MM-GFDL-ESM4_Percentile_tos_585","MM-CMCC-ESM2_Percentile_tos_585","MM-CanESM5_Percentile_tos_585"
"88","Acoetes_pacifica",85.9259259259259,86.2962962962963,95.1851851851852,82.962962962963,86.6666666666667,85.9259259259259
"89","Acreichthys_radiatus",64.5099904852521,70.2188392007612,76.1179828734539,64.7002854424358,64.7002854424358,64.5099904852521
"90","Acreichthys_tomentosus",61.0696517412935,66.4179104477612,73.3830845771144,57.2139303482587,61.6915422885572,61.0696517412935
"91","Acrocalanus_gibber",60.2309172546504,64.4002565747274,74.1500962155228,57.6651699807569,59.7177677998717,60.2309172546504
"92","Acropoma_japonicum",59.1728525980912,62.9904559915164,72.322375397667,54.1887592788971,58.0063626723224,59.1728525980912
"93","Acropoma_lecorneti",67.1410891089109,69.3688118811881,65.7178217821782,85.7054455445545,56.4975247524753,67.1410891089109
"94","Acropora_abrotanoides",68.125,73.046875,79.453125,67.734375,68.046875,68.125
"95","Acropora_aculeus",64.7272727272727,70.5454545454545,75,63.5454545454545,65.0909090909091,64.7272727272727
"96","Acropora_anthocercis",63.6011616650532,71.1519845111326,75.9922555663117,63.891577928364,64.3756050338819,63.6011616650532
"97","Acropora_aspera",64.9154051647373,71.326803205699,73.2858414959929,64.2030276046305,64.826357969724,64.9154051647373
"98","Acropora_austera",68.2067345340642,72.5920125293657,78.7000783085356,67.1104150352388,67.8151918559123,68.2067345340642
"99","Acropora_carduus",67.775974025974,73.4577922077922,77.8409090909091,66.9642857142857,67.5324675324675,67.775974025974
"100","Acropora_cerealis",65.4804270462633,71.1743772241993,76.8683274021352,64.5017793594306,65.3914590747331,65.4804270462633
"101","Acropora_chesterfieldensis",66.2368112543962,73.0363423212192,80.5392731535756,69.5193434935522,67.1746776084408,66.2368112543962
"102","Acropora_clathrata",67.5609756097561,72.6016260162602,78.8617886178862,67.0731707317073,67.8861788617886,67.5609756097561
"103","Acropora_cytherea",68.1995323460639,72.9540140296181,79.3452844894778,67.8098207326578,68.2774746687451,68.1995323460639
"104","Acropora_danai",68.3347005742412,73.5849056603774,79.901558654635,68.3347005742412,68.5808039376538,68.3347005742412
"105","Acropora_dendrum",61.5138592750533,69.1897654584222,75.0533049040512,62.046908315565,62.6865671641791,61.5138592750533
"106","Acropora_digitifera",67.9588607594937,72.626582278481,78.9556962025316,67.3259493670886,67.879746835443,67.9588607594937
"107","Acropora_divaricata",61.1872146118721,68.0365296803653,74.5433789954338,60.8447488584475,62.4429223744292,61.1872146118721
"108","Acropora_donei",62.7083333333333,70.2083333333333,75.8333333333333,63.2291666666667,63.6458333333333,62.7083333333333
"109","Acropora_echinata",63.8297872340426,69.5408734602464,75.0279955207167,61.030235162374,64.6136618141097,63.8297872340426
"110","Acropora_efflorescens",61.697247706422,68.348623853211,74.8853211009174,60.6651376146789,62.3853211009174,61.697247706422
"111","Acropora_elseyi",68.0834001603849,72.9751403368083,79.3905372894948,67.3616680032077,67.682437850842,68.0834001603849
"112","Acropora_exquisita",63.8974358974359,71.1794871794872,75.3846153846154,62.4615384615385,63.8974358974359,63.8974358974359
"113","Acropora_florida",63.1578947368421,70.0404858299595,75,63.4615384615385,64.17004048583,63.1578947368421
"114","Acropora_formosa",68.0314960629921,72.5196850393701,78.8976377952756,67.5590551181102,67.8740157480315,68.0314960629921
"115","Acropora_gemmifera",68.7927107061503,72.9688686408504,77.6765375854214,67.8056188306758,68.1093394077449,68.7927107061503
"116","Acropora_glauca",65.8040665434381,71.5341959334566,77.634011090573,65.1571164510166,66.173752310536,65.8040665434381
"117","Acropora_globiceps",68.6195826645265,74.2375601926164,79.6147672552167,68.0577849117175,68.6998394863563,68.6195826645265
"118","Acropora_grandis",63.373253493014,70.6586826347305,75.4491017964072,63.2734530938124,64.0718562874251,63.373253493014
"119","Acropora_granulosa",68.4003152088258,72.8920409771474,78.4869976359338,67.8486997635934,68.1639085894405,68.4003152088258
"120","Acropora_halmaherae",61.3981762917933,67.9331306990882,75.2279635258359,58.5106382978723,64.4376899696049,61.3981762917933
"121","Acropora_horrida",66.107678729038,72.1094439541042,78.1994704324801,66.1959399823478,66.9902912621359,66.107678729038
"122","Acropora_humilis",68.0599369085173,73.0283911671924,79.4952681388013,67.8233438485804,68.2965299684543,68.0599369085173
"123","Acropora_hyacinthus",68.5887708649469,72.7617602427921,77.4658573596358,67.8300455235205,68.0576631259484,68.5887708649469
"124","Acropora_inermis",68.2625482625483,72.8185328185328,79.0733590733591,67.3359073359073,68.1853281853282,68.2625482625483
"125","Acropora_insignis",63.2113821138211,70.4268292682927,75.4065040650407,63.2113821138211,63.9227642276423,63.2113821138211
"126","Acropora_intermedia",66.8056713928274,72.6438698915763,78.7322768974145,66.5554628857381,67.4728940783987,66.8056713928274
"127","Acropora_kirstyae",62.67087276551,71.3985278654048,76.130389064143,63.3017875920084,63.4069400630915,62.67087276551
"128","Acropora_latistella",68.0817610062893,72.562893081761,78.6949685534591,66.9811320754717,67.9245283018868,68.0817610062893
"129","Acropora_listeri",67.9968701095462,72.9264475743349,79.4992175273865,67.527386541471,68.2316118935837,67.9968701095462
"130","Acropora_longicyathus",67.5143560295324,72.1903199343724,78.6710418375718,66.6940114848236,67.5143560295324,67.5143560295324
"131","Acropora_loripes",68.0511182108626,72.6837060702875,79.073482428115,67.4121405750799,68.1309904153355,68.0511182108626
"132","Acropora_lovelli",66.4018161180477,74.0068104426788,79.7956867196368,70.4880817253121,67.6503972758229,66.4018161180477
"133","Acropora_lutkeni",68.025078369906,72.884012539185,79.7021943573668,67.7115987460815,68.1818181818182,68.025078369906
"134","Acropora_macrostoma",63.3579725448786,71.805702217529,76.6631467793031,64.2027455121436,64.2027455121436,63.3579725448786
"135","Acropora_microclados",64.4567219152855,70.5340699815838,76.1510128913444,63.7200736648251,65.2854511970534,64.4567219152855
"136","Acropora_microphthalma",67.2712283594394,72.7122835943941,78.565539983512,66.6117065127782,68.0131904369332,67.2712283594394
"137","Acropora_millepora",61.2756264236902,68.1093394077449,75.1708428246014,60.8200455580866,62.3006833712984,61.2756264236902
"138","Acropora_monticulosa",63.2632632632633,70.6706706706707,76.1761761761762,63.6636636636637,63.963963963964,63.2632632632633
"139","Acropora_muricata",62.0239390642002,69.3144722524483,75.2992383025027,62.132752992383,62.7856365614799,62.0239390642002
"140","Acropora_nasuta",68.1395348837209,72.9457364341085,79.3798449612403,67.5193798449612,68.2170542635659,68.1395348837209
"141","Acropora_nobilis",67.9937548790008,72.9898516783763,79.4691647150664,67.5253708040593,68.1498829039813,67.9937548790008
"142","Acropora_palmerae",65.2291105121294,70.7996406109614,76.3701707097934,64.3306379155436,64.9595687331536,65.2291105121294
"143","Acropora_paniculata",65.4891304347826,71.3768115942029,76.9021739130435,64.4021739130435,65.2173913043478,65.4891304347826
"144","Acropora_parilis",63.8406537282942,70.3779366700715,74.8723186925434,62.8192032686415,64.0449438202247,63.8406537282942
"145","Acropora_polystoma",62.7931769722815,70.5756929637527,76.0127931769723,63.1130063965885,63.3262260127932,62.7931769722815
"146","Acropora_prostrata",65.3606411398041,70.5253784505788,75.7791629563669,64.4701691896705,65.1825467497774,65.3606411398041
"147","Acropora_pulchra",68.015873015873,72.6190476190476,79.2063492063492,67.2222222222222,67.9365079365079,68.015873015873
"148","Acropora_rambleri",62.6041666666667,68.75,74.2708333333333,61.6666666666667,63.2291666666667,62.6041666666667
"149","Acropora_retusa",68.7086092715232,73.841059602649,79.5529801324503,68.294701986755,68.7086092715232,68.7086092715232
"150","Acropora_robusta",67.7367576243981,72.7126805778491,79.0529695024077,67.2552166934189,67.9775280898876,67.7367576243981
"151","Acropora_rosaria",63.2874015748031,70.2755905511811,75.3937007874016,63.2874015748031,63.9763779527559,63.2874015748031
"152","Acropora_samoensis",68.0817610062893,72.6415094339623,78.9308176100629,67.1383647798742,67.688679245283,68.0817610062893
"153","Acropora_sarmentosa",67.3502871205907,72.518457752256,78.8351107465135,66.8580803937654,67.9245283018868,67.3502871205907
"154","Acropora_secale",67.5879396984925,72.9480737018425,78.9782244556114,67.0016750418761,67.8391959798995,67.5879396984925
"155","Acropora_selago",64.4674835061263,71.0650329877474,76.3430725730443,64.0904806786051,64.9387370405278,64.4674835061263
"156","Acropora_solitaryensis",60.5780346820809,67.514450867052,73.4104046242775,59.5375722543353,61.3872832369942,60.5780346820809
"157","Acropora_spathulata",55.2755905511811,64.4094488188976,71.0236220472441,53.0708661417323,57.7952755905512,55.2755905511811
"158","Acropora_speciosa",67.51269035533,72.673434856176,78.2571912013536,66.1590524534687,67.7664974619289,67.51269035533
"159","Acropora_spicifera",60.6595995288575,67.7267373380448,73.9693757361602,59.8351001177856,61.4840989399293,60.6595995288575
"160","Acropora_subglabra",61.3691931540342,67.7261613691932,73.5941320293399,58.679706601467,62.2249388753056,61.3691931540342
"161","Acropora_subulata",67.288961038961,72.1590909090909,78.4902597402597,66.8019480519481,68.1006493506494,67.288961038961
"162","Acropora_tenella",64.4814090019569,70.8414872798434,72.8962818003914,62.8180039138943,64.4814090019569,64.4814090019569
"163","Acropora_tenuis",68.0412371134021,72.5614591593973,78.9056304520222,67.3275178429818,68.1205392545599,68.0412371134021
"164","Acropora_teres",65.3916211293261,70.7650273224044,75.8652094717668,63.6612021857924,65.6648451730419,65.3916211293261
"165","Acropora_valenciennesi",61.9305856832972,68.6550976138829,74.4034707158351,61.0629067245119,62.6898047722343,61.9305856832972
