"","feature","EM_Penalty_CombinedMetric_585","EM_Penalty_MHW_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"768","Assessor_flavissimus",64.2978003384095,61.2521150592217,55.160744500846,54.8223350253807,58.0372250423012,49.9153976311337
"769","Assessor_macneilli",61.3913043478261,65.0434782608696,61.3913043478261,57.0434782608696,57.5652173913043,52.1739130434783
"770","Assurger_anzac",44.0383736866149,50.1142074006396,46.8250342622202,46.4595705801736,46.8250342622202,44.6779351301964
"771","Asterina_cepheus",46.6881028938907,52.3472668810289,47.524115755627,47.9099678456592,48.8102893890675,44.2443729903537
"772","Asterometra_cristata",50.3174603174603,53.8095238095238,52.3809523809524,57.3015873015873,51.4285714285714,55.3968253968254
"773","Asteronema_breviarticulatum",44.4691495275153,49.9722067815453,46.7481934408004,47.5819899944414,47.248471372985,44.6914952751529
"774","Asteronotus_cespitosus",43.0808080808081,50.3030303030303,45.6565656565657,46.7676767676768,44.9494949494949,43.1818181818182
"775","Asteronyx_loveni",36.507054771692,40.4621708699033,34.1628707921342,35.9848905677147,38.7068103544051,34.7628041328741
"776","Asteropsis_carinifera",44.2898550724638,50.3188405797101,46.7246376811594,47.4202898550725,47.0144927536232,44.1739130434783
"777","Asteropus_simplex",42.1019900497512,46.5796019900498,44.3407960199005,45.3358208955224,45.1492537313433,43.1592039800995
"778","Asterorhombus_cocosensis",44.5121951219512,49.3140243902439,45.655487804878,44.7408536585366,48.094512195122,42.6067073170732
"779","Asterorhombus_filifer",45.4861111111111,50.8680555555556,46.9907407407407,48.0902777777778,47.0486111111111,44.4444444444444
"780","Asterorhombus_intermedius",45,49.296875,45.234375,44.53125,47.65625,42.578125
"781","Asterropteryx_atripes",53.2734274711168,53.2734274711168,46.7265725288832,47.8818998716303,50.9627727856226,44.801026957638
"782","Asterropteryx_bipunctata",44.620253164557,44.5147679324894,41.8776371308017,40.5063291139241,45.253164556962,38.7130801687764
"783","Asterropteryx_ensifera",41.1450381679389,49.5419847328244,46.8702290076336,45.4198473282443,44.8091603053435,42.7480916030534
"784","Asterropteryx_ovata",46.4646464646465,47.6190476190476,44.1558441558442,41.7027417027417,37.9509379509379,37.9509379509379
"785","Asterropteryx_semipunctata",44.622697563874,51.0398098633393,47.2964943553179,47.4747474747475,47.8906714200832,44.5632798573975
"786","Asterropteryx_spinosa",45.3733248245054,50.6700701978303,46.5858328015316,46.9687300574346,48.4365028717294,44.2246330567964
"787","Asterropteryx_striata",45.6591639871383,50.2679528403001,43.9442658092176,43.0868167202572,47.6956055734191,39.978563772776
"788","Asthenosoma_varium",44.6827524575514,50.2234137622878,43.9678284182306,43.0741733690795,47.8999106344951,41.1974977658624
"789","Astralium_calcar",45.1612903225806,49.8991935483871,43.9516129032258,43.0443548387097,48.7903225806452,40.7258064516129
"790","Astralium_rhodostomum",44.4444444444444,47.8902953586498,45.5696202531646,45.0070323488045,47.6793248945148,42.6863572433193
"791","Astreopora_cucullata",46.6755319148936,49.3351063829787,46.343085106383,46.2765957446808,47.5398936170213,43.8829787234042
"792","Astreopora_expansa",44.9810606060606,50.1893939393939,45.4545454545455,43.75,48.7689393939394,42.8977272727273
"793","Astreopora_gracilis",45.8031837916064,48.5528219971056,45.4413892908828,45.1519536903039,47.9015918958032,42.5470332850941
"794","Astreopora_listeri",45.8703071672355,49.0784982935154,45.8703071672355,45.7337883959044,47.7133105802048,43.3447098976109
"795","Astreopora_macrostoma",44.8660714285714,49.1071428571429,45.5357142857143,44.5684523809524,48.0654761904762,42.485119047619
"796","Astreopora_myriophthalma",45.3372434017595,51.3196480938416,47.5073313782991,47.8592375366569,47.8592375366569,44.8680351906158
"797","Astreopora_ocellata",45.4475899005356,49.6557000765111,45.6771231828615,45.141545524101,48.2785003825555,43.1522570772762
"798","Astreopora_randalli",46.5901417960837,49.0884537474679,45.3747467927076,46.5226198514517,48.1431465226199,43.9567859554355
"799","Astreopora_scabra",57.1601941747573,53.6407766990291,52.5485436893204,57.4029126213592,53.3980582524272,55.7038834951456
"800","Astreopora_suggesta",45.0320512820513,48.8782051282051,45.5929487179487,44.7115384615385,48.2371794871795,42.7083333333333
"801","Astroboa_nuda",45.7413249211356,49.9474237644585,43.9537329127234,43.5331230283912,47.6340694006309,40.4837013669821
"802","Astrobrachion_adhaerens",50.0551267916207,52.2601984564498,43.9911797133407,44.6527012127894,52.1499448732084,41.1245865490628
"803","Astrobrachion_constrictum",48.9130434782609,65.2173913043478,45.6521739130435,53.2608695652174,69.5652173913043,54.3478260869565
"804","Astroceras_mammosus",47.9140328697851,49.1782553729456,50.6953223767383,52.4652338811631,52.338811630847,50.063211125158
"805","Astrocladus_exiguus",49.800796812749,48.3067729083665,50.2988047808765,51.99203187251,52.9880478087649,48.605577689243
"806","Astronesthes_bilobatus",39.771079740557,31.3925982449447,33.8725677222434,30.5951926745517,36.1579549790156,31.1178939336131
"807","Astronesthes_chrysophekadion",33.2154977375566,32.4589932126697,32.3529411764706,32.3741515837104,40.356334841629,31.6529977375566
"808","Astronesthes_cyaneus",34.2723804333015,30.9578961711405,31.6255620656765,31.9628014715901,34.8855429895081,30.9715220057228
"809","Astronesthes_dupliglandis",38.0713342140026,31.1387054161162,31.6354029062087,31.7357992073976,46.3566710700132,31.1334214002642
"810","Astronesthes_fedorovi",99.8242530755712,38.7521968365554,84.2706502636204,33.5676625659051,80.6678383128295,33.2161687170475
"811","Astronesthes_gemmifer",46.0962833624345,35.874282863557,38.9473684210526,31.8483412322275,35.0860563731604,32.3571963083063
"812","Astronesthes_ijimai",33.5054275880328,32.5721472067779,32.4199099814668,32.8567646280116,40.2832936192746,32.1617685994175
"813","Astronesthes_indicus",32.2234916489854,30.860671345411,31.0674065611229,31.4618355910995,34.1711549970078,30.8416299439639
"814","Astronesthes_lucifer",35.1998900003437,32.2608366848854,32.5908356536386,32.2952115774638,35.7017634319893,31.2502148430786
"815","Astronesthes_luetkeni",31.3013698630137,30.6291222729579,30.7204464738711,30.5327245053272,31.7199391171994,30.296803652968
"816","Astronesthes_martensii",33.2897453544391,32.6083964211975,32.4707501720578,32.6909841706813,40.3097040605643,32.0027529249828
"817","Astronesthes_quasiindicus",40.0595127394458,31.1288822763623,33.5577459549935,30.0799702436303,38.8729774967454,30.0985679747071
"818","Astronesthes_splendidus",35.4412635120401,31.861935765241,31.9709666365534,31.4258122799913,33.4662471574094,30.9772281237345
