"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"4984","Metapenaeopsis_kishinouyei",85.8974358974359,86.3247863247863,86.3247863247863
"4985","Metapenaeopsis_lamellata",59.1954022988506,55.8620689655172,62.183908045977
"4986","Metapenaeopsis_mannarensis",66.1909009812667,61.9982158786798,66.5477252453167
"4987","Metapenaeopsis_mogiensis",59.0561224489796,55.6122448979592,61.734693877551
"4988","Metapenaeopsis_philippii",63.5340833884845,56.518861681006,63.9973527465255
"4989","Metapenaeopsis_provocatoria",65.8570437196391,60.8605135322693,65.9264399722415
"4990","Metapenaeopsis_quinquedentata",65.1651651651652,61.4614614614615,66.2662662662663
"4991","Metapenaeopsis_richeri",68.8311688311688,65.8441558441558,70.5194805194805
"4992","Metapenaeopsis_sibogae",67.8665496049166,62.2475856014047,70.1492537313433
"4993","Metapenaeopsis_sinica",65.5913978494624,60.7113316790736,66.6666666666667
"4994","Metapenaeopsis_stridulans",64.8700673724735,60.7314725697786,65.832531280077
"4995","Metapenaeopsis_tarawensis",75.8695652173913,75.9782608695652,76.7391304347826
"4996","Metapenaeopsis_toloensis",64.5061728395062,59.7222222222222,66.4351851851852
"4997","Metapenaeopsis_velutina",71.021897810219,67.1532846715328,70.2919708029197
"4998","Metapenaeus_affinis",57.0469798657718,54.0939597315436,60.2684563758389
"4999","Metapenaeus_anchistus",65.2582159624413,60.5633802816901,65.9154929577465
"5000","Metapenaeus_demani",60.9243697478992,55.672268907563,63.2352941176471
"5001","Metapenaeus_eboracensis",52.4557956777996,44.4007858546169,53.2416502946955
"5002","Metapenaeus_elegans",60.8478802992519,56.9825436408978,62.5935162094763
"5003","Metapenaeus_ensis",60.4622871046229,57.9075425790754,63.625304136253
"5004","Metapenaeus_intermedius",58.974358974359,55.7354925775978,62.2132253711201
"5005","Metapenaeus_papuensis",52.1861777150917,48.0959097320169,56.1354019746121
"5006","Metaproto_novaehollandiae",62.9310344827586,57.4933687002653,66.3793103448276
"5007","Metavelifer_multiradiatus",72.5978647686833,69.9288256227758,80.4270462633452
"5008","Metaverruca_sculpta",67.704280155642,62.1919584954604,67.1206225680934
"5009","Metopograpsus_thukuhar",70.199146514936,67.425320056899,69.7724039829303
