"","feature","MM-NorESM2-MM_Percentile_MHW_SumCumInt_585","MM-IPSL-CM6A-LR_Percentile_MHW_SumCumInt_585","MM-GFDL-ESM4_Percentile_MHW_SumCumInt_585","MM-CMCC-ESM2_Percentile_MHW_SumCumInt_585","MM-CanESM5_Percentile_MHW_SumCumInt_585","EM_Percentile_MHW_SumCumInt_585"
"6849","Psettina_iijimae",68.2492581602374,69.2878338278932,82.7893175074184,77.0029673590504,71.8100890207715,68.1008902077151
"6850","Psettina_variegata",66.9852302345786,76.5421372719374,82.9713292788879,81.6681146828845,75.4126846220678,72.8062554300608
"6851","Pseudaesopia_japonica",80.9523809523809,92.0634920634921,89.2063492063492,90.4761904761905,82.5396825396825,83.1746031746032
"6852","Pseudalutarius_nasicornis",67.5287356321839,76.6283524904215,82.5670498084291,81.2260536398467,75.9578544061303,71.551724137931
"6853","Pseudamia_amblyuroptera",64.9093904448105,64.7446457990115,78.2537067545305,74.2998352553542,69.3574958813839,62.9324546952224
"6854","Pseudamia_gelatinosa",69.0193164933135,79.3462109955424,83.5066864784547,82.3922734026746,77.5631500742942,74.888558692422
"6855","Pseudamia_hayashii",71.4285714285714,79.5918367346939,84.3537414965986,81.4382896015549,79.7862001943635,75.2186588921283
"6856","Pseudamia_zonata",67.8738317757009,79.088785046729,85.0467289719626,83.1775700934579,80.7242990654206,74.2990654205608
"6857","Pseudamiops_gracilicauda",66.090297790586,80.6916426512968,82.1325648414985,82.2286263208454,77.8097982708934,73.583093179635
"6858","Pseudanthias_bicolor",66.1485319516407,80.1381692573402,82.3834196891192,81.692573402418,76.2521588946459,73.7478411053541
"6859","Pseudanthias_bimaculatus",66.2959794696322,76.988879384089,81.7792985457656,81.0094097519247,74.5936698032506,71.9418306244654
"6860","Pseudanthias_cichlops",70.0342465753425,76.541095890411,85.7876712328767,84.0753424657534,80.6506849315068,72.6027397260274
"6861","Pseudanthias_cooperi",68.9377289377289,80.5128205128205,84.4688644688645,83.1501831501832,77.7289377289377,76.1172161172161
"6862","Pseudanthias_dispar",66.5708812260536,77.1072796934866,82.088122605364,80.6513409961686,75.6704980842912,72.2222222222222
"6863","Pseudanthias_elongatus",68.5903500473037,76.3481551561022,83.0652790917692,81.9299905392621,76.3481551561022,72.4692526017029
"6864","Pseudanthias_engelhardi",65.0952858575727,80.1404212637914,81.9458375125376,81.5446339017051,75.4262788365095,72.4172517552658
"6865","Pseudanthias_evansi",67.1090047393365,77.914691943128,82.085308056872,81.2322274881517,74.8815165876777,72.4170616113744
"6866","Pseudanthias_fasciatus",68.8915375446961,72.3480333730632,82.8367103694875,78.3075089392133,73.5399284862932,69.9642431466031
"6867","Pseudanthias_flavicauda",70,90.2564102564103,86.1538461538462,88.974358974359,78.4615384615385,82.5641025641026
"6868","Pseudanthias_huchtii",70.0296735905044,72.5519287833828,82.7893175074184,77.7448071216617,73.5905044510386,68.5459940652819
"6869","Pseudanthias_hutomoi",66.3294797687861,71.8208092485549,82.8034682080925,77.0231213872832,72.1098265895954,68.2080924855491
"6870","Pseudanthias_hypselosoma",66.5523156089194,77.5300171526587,82.3327615780446,81.6466552315609,75.1286449399657,72.5557461406518
"6871","Pseudanthias_lori",67.6439790575916,81.7801047120419,83.0366492146597,82.4083769633508,77.8010471204189,76.3350785340314
"6872","Pseudanthias_lunulatus",66.7567567567568,77.3873873873874,82.6126126126126,81.5315315315315,74.8648648648649,72.4324324324324
"6873","Pseudanthias_luzonensis",68.9277899343545,75.382932166302,82.2757111597374,79.3216630196937,75.7111597374179,70.5689277899343
"6874","Pseudanthias_olivaceus",74.7978436657682,82.3450134770889,83.8274932614555,81.5363881401617,77.7628032345013,78.5714285714286
"6875","Pseudanthias_parvirostris",69.9728260869565,77.9891304347826,87.3641304347826,83.2880434782609,79.0760869565217,73.5054347826087
"6876","Pseudanthias_pascalus",66.8983492615117,82.015638575152,83.5794960903562,82.9713292788879,78.7141615986099,75.238922675934
"6877","Pseudanthias_pictilis",69.5268644747394,79.9518845228549,84.3624699278268,82.9991980753809,78.0272654370489,75.4611066559743
"6878","Pseudanthias_pleurotaenia",65.7477025898079,78.2790309106099,82.5396825396825,80.8688387635756,75.187969924812,73.0994152046784
"6879","Pseudanthias_rubrizonatus",69.0721649484536,74.020618556701,82.1649484536082,78.7628865979381,75.360824742268,71.1340206185567
"6880","Pseudanthias_rubrolineatus",66.5335463258786,77.4760383386581,83.14696485623,82.1884984025559,74.2012779552716,72.7635782747604
"6881","Pseudanthias_smithvanizi",67.0666666666667,77.4666666666667,81.4666666666667,79.6,77.3333333333333,70.9333333333333
"6882","Pseudanthias_squamipinnis",66.4864864864865,76.4864864864865,81.8018018018018,80.8108108108108,75.7657657657658,71.5315315315315
"6883","Pseudanthias_tuka",67.7730192719486,76.1241970021413,82.762312633833,80.9421841541756,78.051391862955,71.5203426124197
"6884","Pseudanthias_ventralis",67.1366594360087,86.8763557483731,84.3817787418655,85.2494577006508,81.1279826464208,79.6095444685466
"6885","Pseudanthura_baeckea",66.1602209944751,81.353591160221,80.524861878453,85.3591160220994,64.5027624309392,75.828729281768
"6886","Pseudasterina_delicata",51.8115942028985,76.0869565217391,69.5652173913043,72.463768115942,75.7246376811594,68.1159420289855
"6887","Pseudechidna_brummeri",67.4928503336511,78.2650142993327,83.5081029551954,82.2688274547188,76.6444232602478,73.9752144899905
"6888","Pseudobalistes_flavimarginatus",69.6374622356496,79.3051359516616,83.987915407855,82.7039274924471,77.7190332326284,75
"6889","Pseudobalistes_fuscus",67.1452702702703,80.9121621621622,83.9527027027027,82.0945945945946,76.7736486486486,74.5777027027027
"6890","Pseudoboletia_indiana",78.8288288288288,88.7387387387387,87.8378378378378,90.0900900900901,77.4774774774775,81.5315315315315
"6891","Pseudoboletia_maculata",66.2068965517241,77.4137931034483,81.551724137931,80.6034482758621,74.3103448275862,71.6379310344828
"6892","Pseudocaranx_dentex",70.7112970711297,87.8661087866109,86.1924686192469,89.9581589958159,69.4560669456067,80.3347280334728
"6893","Pseudocarcharias_kamoharai",49.770718415631,51.840898517977,54.5125274141025,54.884694623513,53.2764006114176,52.5952017013358
"6894","Pseudoceramaster_regularis",65.7032755298651,84.9710982658959,81.1175337186898,85.9344894026975,82.8516377649326,76.4932562620424
"6895","Pseudoceratina_purpurea",69.5721077654517,79.9524564183835,84.4690966719493,82.8843106180666,77.9714738510301,75.1980982567353
"6896","Pseudoceratina_verrucosa",68.3417085427136,83.1658291457286,79.1457286432161,83.1658291457286,72.6130653266332,75.6281407035176
"6897","Pseudocheilinus_evanidus",69.672131147541,79.806259314456,84.1281669150522,82.8614008941878,77.645305514158,75.4843517138599
"6898","Pseudocheilinus_hexataenia",70.1741105223316,79.0310370931113,83.8758516275549,82.5132475397426,77.8955336866011,75.3217259651779
"6899","Pseudocheilinus_ocellatus",68.0262199563001,81.3546977421704,84.1951930080116,82.7385287691187,77.4217042971595,75.673707210488
"6900","Pseudocheilinus_octotaenia",67.6246830092984,82.0794590025359,83.6855452240068,83.0092983939138,79.1208791208791,75.8241758241758
"6901","Pseudocheilinus_tetrataenia",67.913148371532,85.4041013268999,83.7153196622437,84.0772014475271,80.0965018094089,77.8045838359469
"6902","Pseudochromis_andamanensis",70.6896551724138,72.7011494252874,81.0344827586207,77.8735632183908,76.4367816091954,69.5402298850575
"6903","Pseudochromis_bitaeniatus",69.8300283286119,69.8300283286119,81.728045325779,77.4787535410765,73.2294617563739,66.9971671388102
"6904","Pseudochromis_coccinicauda",60.5128205128205,62.0512820512821,79.4871794871795,71.2820512820513,64.6153846153846,58.974358974359
"6905","Pseudochromis_cyanotaenia",67.6963812886143,76.6107678729038,82.171226831421,81.2003530450132,76.1694616063548,72.5507502206531
"6906","Pseudochromis_elongatus",60.6635071090047,81.5165876777251,89.5734597156398,87.6777251184834,88.1516587677725,66.824644549763
"6907","Pseudochromis_flammicauda",77.4104683195592,84.0220385674931,82.6446280991736,84.8484848484848,79.0633608815427,78.5123966942149
"6908","Pseudochromis_fuscus",70.7201889020071,72.9634002361275,81.9362455726092,79.1027154663518,75.4427390791027,70.2479338842975
"6909","Pseudochromis_jamesi",68.5962373371925,78.4370477568741,81.0419681620839,79.8842257597685,73.8060781476122,73.082489146165
"6910","Pseudochromis_luteus",70.3049759229534,73.5152487961477,86.1958266452648,81.5409309791332,77.6886035313002,70.7865168539326
"6911","Pseudochromis_marshallensis",67.8381256656017,76.8903088391906,82.8541001064963,80.8306709265176,77.1033013844515,71.7784877529286
"6912","Pseudochromis_melanurus",71.5686274509804,90.6862745098039,87.7450980392157,90.1960784313726,93.6274509803922,85.7843137254902
"6913","Pseudochromis_moorei",70.377358490566,79.811320754717,87.9245283018868,83.9622641509434,80.9433962264151,72.4528301886792
"6914","Pseudochromis_pylei",63.7231503579952,78.7589498806683,85.6801909307876,84.0095465393795,81.8615751789976,69.2124105011933
"6915","Pseudochromis_tapeinosoma",61.8980169971671,67.9886685552408,78.1869688385269,74.929178470255,70.2549575070822,64.3059490084986
"6916","Pseudocoris_heteroptera",72.8601252609603,74.321503131524,83.5073068893528,79.8538622129436,76.6179540709812,72.8601252609603
"6917","Pseudocoris_yamashiroi",66.9741697416974,78.8745387453875,82.7490774907749,81.3653136531365,75.3690036900369,73.0627306273063
"6918","Pseudocypraea_adamsonii",66.0109289617486,80,80.9836065573771,81.5300546448087,76.9398907103825,71.5846994535519
"6919","Pseudodaphnella_nexa",68.0203045685279,85.0253807106599,81.7258883248731,85.2791878172589,89.0862944162436,77.9187817258883
