"","feature","EM-Percentile-tos-585","EM-Percentile-tos-245","EM-Percentile-tos-126"
"4932","Melanostomias_valdiviae",55.8865495040891,50.7429963459196,53.958587088916
"4933","Melibe_pilosa",68.1969394544245,62.7411842980705,69.9933466400532
"4934","Melibe_viridis",66.5178571428571,62.5,70.3571428571429
"4935","Melicerona_felina",63.915547024952,58.8291746641075,67.4664107485605
"4936","Melicertus_canaliculatus",66.8890742285238,62.4687239366138,70.3919933277731
"4937","Melicertus_marginatus",68.0327868852459,62.9255989911728,70.2395964691047
"4938","Melichthys_vidua",68.4413580246914,63.4259259259259,70.6018518518518
"4939","Melithaea_ochracea",64.8288973384031,59.0304182509506,67.3954372623574
"4940","Menaethius_monoceros",68.3244070390207,64.1928079571538,70.3902065799541
"4941","Menaethius_orientalis",68.2427107959023,63.5145784081954,70.2127659574468
"4942","Meningodora_mollis",73.6353829557713,79.1801510248112,74.9298813376483
"4943","Mentodus_mesalirus",87.701355152135,89.1332140117617,76.7834313474815
"4944","Merelina_pisinna",64.1125121241513,59.0688651794374,66.537342386033
"4945","Merga_violacea",65.2373660030628,58.95865237366,67.0750382848392
"4946","Meristotheca_procumbens",67.6602086438152,60.2086438152012,68.4053651266766
"4947","Merlia_deficiens",61.5384615384615,63.2478632478632,65.8119658119658
"4948","Merlia_normani",69.2307692307692,68.4065934065934,66.2087912087912
"4949","Meropesta_sinojaponica",79.4117647058823,76.4705882352941,73.5294117647059
"4950","Merulina_ampliata",68.2791435368755,63.0452022204599,69.9444885011895
"4951","Meseres_trachus",53.3827618164968,43.2808155699722,55.885078776645
"4952","Mesoplodon_densirostris",58.9357503106498,53.3732914260654,54.6926394269425
"4953","Mesoplodon_ginkgodens",44.6082105087851,44.1585477558498,40.6778249646099
"4954","Mesoplodon_hectori",56.5656565656566,73.7373737373737,93.9393939393939
"4955","Mesoplodon_layardii",67.6691729323308,77.4436090225564,96.9924812030075
"4956","Mesopontonia_gorgoniophila",72.9206963249516,72.147001934236,76.9825918762089
"4957","Mesopristes_argenteus",58.5164835164835,53.2967032967033,65.3846153846154
"4958","Mesopristes_cancellatus",57.9831932773109,53.2773109243698,66.5546218487395
"4959","Mesosagitta_minima",66.7808219178082,60.2168949771689,68.7785388127854
"4960","Mespilia_globulus",64.8029330889093,59.3950504124656,68.1943171402383
"4961","Metacirolana_basteni",58.9473684210526,53.6842105263158,65.2631578947368
"4962","Metacirolana_nana",58.9473684210526,53.6842105263158,65.2631578947368
"4963","Metacrinus_musorstomae",64.0819964349376,55.9714795008913,67.379679144385
"4964","Metadromia_wilsoni",72.9222520107239,69.9731903485255,76.9436997319035
"4965","Metalia_dicrana",68.0094786729858,63.2701421800948,69.9052132701422
"4966","Metalia_spatagus",68.7590187590188,63.5642135642136,71.0678210678211
"4967","Metalia_sternalis",66.4054848188051,60.7247796278159,70.617042115573
"4968","Metalpheus_paragracilis",68.7865497076023,64.2543859649123,70.687134502924
"4969","Metalpheus_rostratipes",69.6390658174098,65.4635527246992,71.4083510261854
"4970","Metanachis_marquesa",68.7409551374819,65.7018813314038,71.9247467438495
"4971","Metapenaeopsis_aegyptia",64.8423005565863,58.8126159554731,67.1614100185529
"4972","Metapenaeopsis_andamanensis",60.5060506050605,52.6952695269527,63.6963696369637
