"","feature","EM_Penalty_tos_585","EM_ClimatePriorityArea_tos_585","EM_Percentile_tos_585","EM_Feature_tos_585"
"3013","Epinephelus_lanceolatus",43.3020266930302,37.073652990608,69.4018783984182,47.1082550667326
"3014","Epinephelus_macrospilos",43.6875,38.3125,67.75,44.75
"3015","Epinephelus_maculatus",42.8748451053284,38.1660470879802,66.9144981412639,43.9281288723668
"3016","Epinephelus_magniscuttis",39.170225747407,35.4484441732764,64.4295302013423,38.0109823062843
"3017","Epinephelus_malabaricus",42.2092172640819,38.1858083394294,63.2040965618142,43.8917337234821
"3018","Epinephelus_melanostigma",43.8461538461538,38.7179487179487,66.8589743589744,45.1282051282051
"3019","Epinephelus_merra",44.3941109852775,38.0520951302378,69.5356738391846,48.2446206115515
"3020","Epinephelus_miliaris",41.5879017013232,35.7908002520479,66.0995589161941,39.8235664776307
"3021","Epinephelus_morrhua",44.5214979195562,36.9856680536292,69.8566805362922,46.2783171521036
"3022","Epinephelus_ongus",41.8950665622553,37.1182458888019,63.4299138606108,42.443226311668
"3023","Epinephelus_poecilonotus",39.4758394758395,38.4930384930385,60.8517608517609,40.6224406224406
"3024","Epinephelus_polyphekadion",44.3037974683544,37.9171461449942,69.4476409666283,47.9861910241657
"3025","Epinephelus_retouti",43.9918533604888,35.7433808553971,68.8391038696538,45.9775967413442
"3026","Epinephelus_socialis",52.2920203735144,38.9643463497453,73.8539898132428,51.188455008489
"3027","Epinephelus_spilotoceps",43.841642228739,36.8768328445748,67.0821114369501,43.7683284457478
"3028","Epinephelus_tauvina",43.3566433566434,36.969696969697,69.6503496503497,46.7132867132867
"3029","Epinephelus_timorensis",55.0724637681159,39.7101449275362,89.5652173913044,50.7246376811594
"3030","Episiphon_bordaensis",36.8932038834951,36.8932038834951,55.3398058252427,36.8932038834951
"3031","Episiphon_filum",34.3790849673203,31.1764705882353,49.2483660130719,32.1895424836601
"3032","Episiphon_jamiesoni",35.5805243445693,37.0786516853933,52.8089887640449,32.5842696629214
"3033","Episiphon_pichoni",39.5770392749245,35.9516616314199,59.1137965760322,36.2537764350453
"3034","Episiphon_subtorquatum",43.5695538057743,36.5485564304462,64.9606299212598,39.4356955380577
"3035","Episiphon_virgula",40.2061855670103,37.6288659793814,58.8917525773196,39.4329896907216
"3036","Epistocavea_mururoa",52.0319786808794,38.707528314457,79.0806129247169,53.3644237175216
"3037","Epitonium_aculeatum",46.9387755102041,32.6530612244898,58.7755102040816,37.5510204081633
"3038","Epitonium_lyra",42.1969696969697,36.8939393939394,63.7121212121212,40.4545454545455
"3039","Epitonium_replicatum",36.0869565217391,34.4565217391304,56.8478260869565,37.8260869565217
"3040","Epitonium_stigmaticum",41.1284840244732,35.6900067980965,63.6301835486064,40.8565601631543
"3041","Epixanthus_frontalis",41.1037107516651,39.6764985727878,61.2749762131304,42.5309229305423
"3042","Equulites_rivulatus",47.6050830889541,39.980449657869,67.0576735092864,45.1612903225806
"3043","Equulites_stercorarius",36.4878048780488,36.8780487804878,61.1707317073171,39.3170731707317
"3044","Eretmochelys_imbricata",43.3164905833716,37.2071658245292,69.6371152962793,47.0831419384474
"3045","Eriphia_scabricula",43.7414965986395,38.2993197278912,67.6190476190476,44.4897959183673
"3046","Eriphia_sebana",44.6296296296296,38.0246913580247,69.3827160493827,47.962962962963
"3047","Erisphex_aniarus",45.0042698548249,36.2937660119556,67.1221178479932,40.3074295473954
"3048","Erisphex_pottii",48.5148514851485,41.0891089108911,73.019801980198,46.5346534653465
"3049","Erosa_erosa",42.4962852897474,38.038632986627,63.4472511144131,43.9821693907875
"3050","Erosaria_eburnea",42.8963623884695,36.856554564173,66.5751544269046,42.1413864104324
"3051","Erronea_cylindrica",43.3884297520661,37.7685950413223,63.7190082644628,43.0578512396694
"3052","Erronea_errones",42.5512934879572,39.3398751115076,62.0874219446922,43.0865298840321
"3053","Ervilia_bisculpta",43.3819556996218,37.3311723392761,68.989735278228,47.2717450027012
"3054","Erylus_geodioides",69.3069306930693,44.5544554455446,72.2772277227723,56.4356435643564
"3055","Erylus_lendenfeldi",49.5511669658887,38.4201077199282,63.9138240574506,39.1382405745063
"3056","Erythrocles_scintillans",45.1438848920863,36.3758992805755,70.863309352518,45.9982014388489
"3057","Erythrotrichia_carnea",54.7486033519553,45.8100558659218,65.0837988826816,46.3687150837989
"3058","Esperiopsis_challengeri",50.4672897196262,31.7757009345794,64.1744548286604,37.6947040498442
"3059","Etelis_carbunculus",43.3953033268102,37.2309197651663,67.3189823874755,42.9060665362035
"3060","Etelis_coruscans",43.6871996505024,36.9156837046745,69.3752730449978,46.3958060288336
"3061","Etelis_radiosus",43.7001594896332,37.3737373737374,67.6236044657097,42.4242424242424
"3062","Ethalia_guamensis",42.7191679049034,37.890044576523,64.8588410104012,42.5705794947994
"3063","Ethusa_hawaiiensis",45.0689289501591,36.4262990455992,68.2396606574761,45.864262990456
"3064","Ethusa_izuensis",41.9158361018826,36.8770764119601,65.78073089701,40.0885935769657
"3065","Etisus_demani",45.1086956521739,37.3792270531401,69.6256038647343,47.8260869565217
"3066","Etisus_dentatus",45.3681710213777,36.9358669833729,69.3586698337292,47.5653206650831
"3067","Etisus_electra",44.8741559238797,38.0601596071209,69.5518723143033,48.2504604051565
"3068","Etisus_frontalis",48.1687898089172,37.2611464968153,71.3375796178344,48.1687898089172
"3069","Etisus_laevimanus",44.157981349424,37.904552934723,69.6105320899616,47.723532638508
"3070","Etisus_splendidus",44.9211356466877,37.2239747634069,69.2744479495268,47.5709779179811
"3071","Etisus_utilis",44,37.9574468085106,65.8723404255319,43.7446808510638
"3072","Etmopterus_bigelowi",30.8805325557726,31.2491403735593,56.9389046296042,40.6871509916651
"3073","Etmopterus_dianthus",32.8881846989588,30.7605251244907,68.4698958804889,32.1865097329108
"3074","Etmopterus_lucifer",32.162017167382,30.4944563662375,52.45886981402,30.3335121602289
"3075","Etmopterus_pusillus",40,40,80,60
"3076","Etmopterus_splendidus",42.7142857142857,36.2857142857143,66.5,41.5714285714286
"3077","Etrema_crassilabrum",36.9781312127237,33.7972166998012,57.8528827037773,35.9840954274354
"3078","Euacasta_dofleini",38.955223880597,38.3582089552239,61.3432835820895,41.7910447761194
"3079","Euacasta_porata",38.452787258248,37.6564277588168,61.7747440273038,41.5244596131968
"3080","Euaugaptilus_hecticus",43.4230573895378,37.3793803961402,66.8867445403758,41.0360589131539
"3081","Eubalichthys_caeruleoguttatus",49.4809688581315,38.0622837370242,79.9307958477509,43.598615916955
"3082","Eubleekeria_jonesi",37.4749498997996,38.0761523046092,59.3186372745491,42.4849699398798
"3083","Eubleekeria_rapsoni",38.3275261324042,37.0499419279907,61.3240418118467,43.321718931475
"3084","Eubleekeria_splendens",37.3991935483871,37.9032258064516,59.2741935483871,42.5403225806452
"3085","Eucalanus_elongatus",41.4076246334311,36.4809384164223,65.8651026392962,41.1730205278592
"3086","Eucalathis_rugosa",42.8571428571429,34.6938775510204,69.1609977324263,40.3628117913832
"3087","Euchaeta_marina",35.3951477300024,31.8400192169109,61.3019457122268,34.0379533989911
"3088","Euchaeta_media",50,50,100,50
"3089","Euchaeta_spinosa",50,50,100,50
"3090","Euchelus_asper",39.5036194415719,39.4002068252327,59.875904860393,42.0889348500517
"3091","Euchelus_atratus",45.5813953488372,37.2093023255814,65.1937984496124,46.5891472868217
"3092","Eucheuma_denticulatum",44.1786283891547,38.9952153110048,64.3540669856459,47.0494417862839
"3093","Euchirella_amoena",40.625,34.375,78.125,37.5
"3094","Euchirella_curticauda",40.625,34.375,78.125,37.5
"3095","Euchirella_indica",57.6744186046512,56.7441860465116,80.9302325581395,40.9302325581395
"3096","Euchirella_pulchra",40.9275639493187,33.2297394214678,69.6151087736075,41.0949079607937
"3097","Euchirella_venusta",47.6303317535545,37.0260663507109,70.4383886255924,42.2985781990521
