"","feature","EM_Feature_MHW_SumCumInt_585","EM_Feature_velocity_585","EM_Feature_o2os_585","EM_Feature_phos_585","EM_Feature_tos_585"
"4314","Kuhlia_sandvicensis",78.023598820059,76.9911504424779,56.9321533923304,33.0383480825959,69.9115044247788
"4315","Kumococius_rodericensis",61.1111111111111,51.8518518518518,44.047619047619,46.5608465608466,50.3968253968254
"4316","Kuroshiovolva_shingoi",58.659217877095,66.3208300079808,46.1292897047087,47.2466081404629,53.3120510774142
"4317","Kyphosus_bigibbus",66.4086687306501,63.390092879257,50.8513931888545,43.421052631579,60.2167182662539
"4318","Kyphosus_cinerascens",66.4388762338648,64.6924829157175,51.4806378132118,42.9764616552771,60.5163249810175
"4319","Kyphosus_ocyurus",34.6643334393891,30.0031816735603,39.3148796266836,62.0373316364408,38.7633895428996
"4320","Kyphosus_pacificus",64.7058823529412,65.8982511923688,51.9077901430843,43.5612082670906,61.8441971383148
"4321","Kyphosus_vaigiensis",66.3903541823662,63.6021100226074,51.0173323285607,43.1801055011304,60.5877920120573
"4322","Labidocera_acuta",43.7483820864613,40.7973077918716,36.9660885322288,62.3090862024333,40.9785141082061
"4323","Labidocera_acutifrons",61.6362192216044,64.0190627482129,46.1477362986497,45.8300238284353,55.4408260524226
"4324","Labidocera_detruncata",100,100,100,100,100
"4325","Labidocera_pavo",60.4622871046229,55.4744525547445,45.0121654501217,48.1751824817518,54.014598540146
"4326","Labidodemas_semperianum",64.7430830039526,65.3754940711462,51.5415019762846,44.5059288537549,61.5810276679842
"4327","Labrichthys_unilineatus",63.7488947833775,60.8311229000884,45.711759504863,43.7665782493369,54.553492484527
"4328","Labroides_bicolor",65.9090909090909,64.0151515151515,51.2878787878788,43.5606060606061,61.1363636363636
"4329","Labroides_dimidiatus",66.5158371040724,63.4238310708899,50.8295625942685,42.9110105580694,60.4072398190045
"4330","Labroides_pectoralis",60.6730769230769,62.4038461538462,47.1153846153846,45.7692307692308,56.25
"4331","Labropsis_alleni",53.6621823617339,53.0642750373692,44.0956651718984,50.2242152466368,50.8221225710015
"4332","Labropsis_australis",78.1420765027322,75.0455373406193,47.1766848816029,32.9690346083789,62.2950819672131
"4333","Labropsis_manabei",59.2489568845619,53.6856745479833,46.1752433936022,47.5660639777469,51.7385257301808
"4334","Labropsis_xanthonota",61.9173262972735,63.0606860158311,45.5584872471416,46.0861917326297,56.9041336851363
"4335","Lachneratus_phasmaticus",78.4140969162996,80.6167400881057,44.273127753304,36.5638766519824,65.6387665198238
"4336","Lachnopodus_subacutus",65.905383360522,63.8662316476346,51.305057096248,43.7194127243067,60.7667210440457
"4337","Lactarius_lactarius",60.7661822985469,51.6512549537649,43.7252311756935,47.1598414795244,50.1981505944518
"4338","Lactoria_cornuta",67.0454545454545,63.3333333333333,50.530303030303,43.4090909090909,59.6969696969697
"4339","Lactoria_diaphana",63.930544593528,61.483820047356,47.0402525651144,44.3567482241515,57.8531965272297
"4340","Lactoria_fornasini",65.0680028632785,65.7838224767359,50.3937007874016,44.5239799570508,61.5604867573372
"4341","Laemonema_rhodochir",72.9755178907721,75.7062146892655,43.7853107344633,40.2071563088512,61.5819209039548
"4342","Laeops_gracilis",56.0810810810811,45.2702702702703,60.8108108108108,50.6756756756757,39.8648648648649
"4343","Laeops_guentheri",58.9622641509434,52.7122641509434,44.9292452830189,49.1745283018868,52.4764150943396
"4344","Laeops_kitaharae",60.25,62.4166666666667,46.4166666666667,47.5,53.0833333333333
"4345","Laeops_parviceps",57.4209245742092,56.69099756691,46.4720194647202,52.0681265206813,53.0413625304136
"4346","Laevicardium_attenuatum",63.0585898709037,59.4836146971202,45.7795431976167,44.1906653426018,53.0287984111221
"4347","Laevicardium_biradiatum",61.6455696202532,53.4177215189873,46.3291139240506,46.3291139240506,51.3924050632911
"4348","Laevicardium_lobulatum",63.1730769230769,60.3846153846154,45.5769230769231,44.5192307692308,52.8846153846154
"4349","Laevicardium_multipunctatum",61.8313689936537,61.6500453309157,46.5095194922937,46.9628286491387,54.6690843155032
"4350","Laevichlamys_aliae",61.1170784103115,59.3984962406015,48.3351235230935,49.0870032223416,58.109559613319
"4351","Laevichlamys_andamanica",42.8530913216109,42.9438457175269,39.2002268859898,49.1548496880318,34.6965399886557
"4352","Laevichlamys_cuneata",59.9505562422744,54.2645241038319,46.6007416563659,46.7243510506799,51.2978986402967
"4353","Laevichlamys_deliciosa",59.0289608177172,64.7359454855196,47.3594548551959,48.381601362862,54.5144804088586
"4354","Laevichlamys_lemniscata",63.1873252562908,60.7642124883504,45.2935694315005,43.9888164026095,53.4016775396086
"4355","Laevichlamys_limatula",34.3743427970557,31.7875920084122,30.8832807570978,70.4731861198738,30
"4356","Laevichlamys_mollita",56.8421052631579,50.9774436090226,44.6616541353383,48.5714285714286,49.3233082706767
"4357","Laevichlamys_squamosa",66.5925925925926,63.8518518518518,50.6666666666667,43.7037037037037,60.2962962962963
"4358","Laevichlamys_wilhelminae",63.7075718015666,64.0557006092254,49.5213228894691,44.6475195822454,59.094865100087
"4359","Laevidentalium_banale",57.4354407836153,57.4354407836153,47.4621549421193,50.0445235975067,54.2297417631345
"4360","Laevidentalium_coruscum",53.8263112639725,61.6938950988822,45.1848667239897,47.2914875322442,51.676698194325
"4361","Laevidentalium_eburneum",60.7843137254902,62.6598465473146,47.229326513214,47.0588235294118,54.5609548167093
"4362","Laevidentalium_erectum",50.0621890547264,51.9278606965174,46.2064676616915,51.3059701492537,47.7611940298507
"4363","Laevidentalium_gofasi",63.1195335276968,71.5743440233236,46.7930029154519,40.5247813411079,52.9154518950437
"4364","Laevidentalium_houbricki",59.918200408998,66.9734151329243,50.8179959100204,46.7280163599182,53.1697341513292
"4365","Laevidentalium_lubricatum",53.8993089832182,56.6633761105627,46.2981243830207,52.2211253701876,53.1095755182626
"4366","Laevidentalium_martyi",60.530679933665,59.2039800995025,50.0829187396352,47.5953565505804,55.0580431177446
"4367","Laganum_fudsiyama",60.7190412782956,62.4500665778961,56.3249001331558,49.8002663115846,57.7896138482024
"4368","Laganum_laganum",59.0419161676647,56.6467065868263,49.1017964071856,47.6646706586826,54.8502994011976
"4369","Lagenodelphis_hosei",40.9486701677113,41.5754700999492,44.5773335592072,48.1924445197357,44.424868710825
"4370","Lagocephalus_guentheri",62.1867881548975,55.6947608200456,45.8997722095672,47.8359908883827,53.7585421412301
"4371","Lagocephalus_inermis",62.0092378752887,55.3117782909931,45.2655889145497,47.459584295612,53.9260969976905
"4372","Lagocephalus_lagocephalus",64.8954211418881,65.799886941775,49.4064443188242,43.8100621820237,60.9383832673827
"4373","Lagocephalus_lunaris",61.2099644128114,54.5670225385528,44.4839857651246,47.9240806642942,53.2621589561091
"4374","Lagocephalus_sceleratus",65.5544651619235,58.1943081452404,50.7360157016683,44.6516192345437,58.0961727183513
"4375","Lagocephalus_spadiceus",60.4878048780488,53.6585365853659,44.1463414634146,48.4146341463415,52.3170731707317
"4376","Lahaina_ovata",65.5144694533762,63.7459807073955,50.8842443729904,44.0514469453376,60.4501607717042
