"","feature","EM_Penalty_MHW_SumCumInt_585","EM_Penalty_velocity_585","EM_Penalty_o2os_585","EM_Penalty_phos_585","EM_Penalty_tos_585"
"7519","Sertularella_bipectinata",40.2439024390244,40.2439024390244,31.7073170731707,53.0487804878049,30.4878048780488
"7520","Sertularella_catena",51.5570934256055,49.4809688581315,47.0588235294118,57.0934256055363,41.522491349481
"7521","Sertularella_crenulata",59.2198581560284,60.8156028368794,55.3191489361702,53.9007092198582,54.0780141843972
"7522","Sertularella_diaphana",46.8917881811205,45.3568687643899,43.5149654643131,45.2801227935533,43.1312356101305
"7523","Sertularella_geodiae",40.2366863905325,40.8284023668639,31.9526627218935,52.0710059171598,30.1775147928994
"7524","Sertularella_helenae",42.9577464788732,51.056338028169,31.6901408450704,44.3661971830986,36.2676056338028
"7525","Sertularella_intricata",52.4962178517398,55.5219364599092,52.7987897125567,53.4039334341906,51.8910741301059
"7526","Sertularella_leiocarpa",40,40,32.258064516129,52.9032258064516,30.9677419354839
"7527","Sertularella_leiocarpoides",40,40.5882352941176,31.7647058823529,51.7647058823529,30
"7528","Sertularella_novaecaledoniae",40.1234567901235,40.1234567901235,31.4814814814815,53.0864197530864,30.2469135802469
"7529","Sertularella_paucicostata",42.3197492163009,52.9780564263323,33.2288401253918,46.3949843260188,35.423197492163
"7530","Sertularella_pseudocostata",41.0404624277457,42.1965317919075,32.9479768786127,52.6011560693642,30.635838150289
"7531","Sertularella_quadridens",48.134328358209,46.455223880597,43.9054726368159,45.8955223880597,43.8432835820896
"7532","Sertularella_sinensis",55.417406749556,63.4103019538188,50.088809946714,55.2397868561279,49.0230905861456
"7533","Sertularella_tenella",50.4242965609647,50.1563197856186,45.8240285841894,41.8937025457794,45.8240285841894
"7534","Sertularia_ligulata",51.5057915057915,45.6370656370656,49.4208494208494,45.019305019305,45.7915057915058
"7535","Setanida_cristata",61.7021276595745,51.4184397163121,60.6382978723404,35.1063829787234,53.9007092198582
"7536","Setarches_guentheri",50,45.8498023715415,45.899209486166,43.6758893280632,45.3557312252964
