"","feature","MM-NorESM2-MM_Percentile_velocity_585","MM-IPSL-CM6A-LR_Percentile_velocity_585","MM-GFDL-ESM4_Percentile_velocity_585","MM-CMCC-ESM2_Percentile_velocity_585","MM-CanESM5_Percentile_velocity_585"
"22","Acanthaxius_spinosissimus",32.1349557522124,34.6344647519582,33.6123348017621,34.0967741935484,34.0613026819923
"23","Acanthella_cavernosa",32.5510204081633,34.1686460807601,33.8775510204082,33.9795918367347,34.1836734693877
"24","Acanthella_costata",32.9583333333333,34.4166666666667,33.1041666666667,34.125,34.125
"25","Acanthephyra_eximia",30.954003407155,30.9028960817717,30.4599659284497,31.2691652470187,30.2640545144804
"26","Acanthephyra_quadrispinosa",32.9939024390244,34.6067415730337,33.3030303030303,33.5731414868105,33.7988165680473
"27","Acanthephyra_smithi",30.5245901639344,31.31995477671,30.6433013001696,30.8807235726399,30.9005087620124
"28","Acanthochaetetes_wellsi",33.3870967741935,34.3548387096774,33.5483870967742,31.6129032258064,33.8709677419355
"29","Acanthocybium_solandri",31.8893335874468,32.2520476068595,31.6129765538741,31.6006146360202,31.566702785391
"30","Acanthodendrilla_australis",32.0212765957447,32.0212765957447,30.531914893617,32.0212765957447,30.531914893617
"31","Acanthogorgia_spinosa",32.6666666666667,35,34.4166666666667,32.6666666666667,34.4166666666667
"32","Acanthophora_spicifera",32.4945770065076,33.7093275488069,32.9501084598698,32.9501084598698,32.9501084598698
"33","Acanthopleura_gemmata",32.6164874551971,34.3501326259947,33.9393939393939,34.0277777777778,33.8709677419355
"34","Acanthopleura_spinosa",32.1754385964912,33.4649122807018,33.7555555555556,34.5333333333333,34.2222222222222
"35","Acanthosphex_leurynnis",30.5696202531646,33.3173076923077,32.1818181818182,33.2727272727273,33.3620689655172
"36","Acanthosquilla_derijardi",32.9158110882957,33.8501026694045,33.1314168377823,32.9158110882957,33.1314168377823
"37","Acanthosquilla_multifasciata",32.3728813559322,34.4218551461245,33.0973451327434,33.4939759036145,34.0994152046784
"38","Acanthurus_achilles",32.5753012048193,33.3132530120482,32.2590361445783,32.3644578313253,33.1024096385542
"39","Acanthurus_albipectoralis",32.8461538461538,33.3846153846154,32.8461538461538,31.7692307692308,32.8461538461538
"40","Acanthurus_auranticavus",32.6867816091954,34.1954022988506,33.0890804597701,33.7931034482759,33.5919540229885
"41","Acanthurus_blochii",32.5706940874036,33.6503856041131,32.840616966581,32.840616966581,32.9305912596401
"42","Acanthurus_dussumieri",32.6616379310345,33.7931034482759,33.1896551724138,32.8125,32.8879310344828
"43","Acanthurus_fowleri",31.6237942122186,33.6166007905138,32.9283489096573,33.75,34.2521367521367
"44","Acanthurus_grammoptilus",30.2542372881356,35,33.2203389830508,35,34.4067796610169
"45","Acanthurus_guttatus",32.6015228426396,33.489847715736,32.6015228426396,32.7791878172589,32.9568527918782
"46","Acanthurus_japonicus",31.5406976744186,33.3969465648855,33.4090909090909,33.8297872340425,34.04296875
"47","Acanthurus_leucopareius",32.7358490566038,33.3962264150943,32.4528301886792,32.3584905660377,32.6415094339623
"48","Acanthurus_lineatus",32.4660633484163,33.8914027149321,33.0203619909502,32.9411764705882,33.2579185520362
"49","Acanthurus_maculiceps",32.8548387096774,34.0967741935484,33.1935483870968,32.6290322580645,33.758064516129
