feature,EM_Percentile_tos_585,MM-NorESM2-MM_Percentile_tos_585,MM-IPSL-CM6A-LR_Percentile_tos_585,MM-GFDL-ESM4_Percentile_tos_585,MM-CMCC-ESM2_Percentile_tos_585,MM-CanESM5_Percentile_tos_585
Stereomastis_galil,31.802884615384606,32.53793103448279,32.36378205128208,34.49519230769234,34.55128205128208,33.14903846153844
Stereomastis_phosphorus,32.18390804597703,32.89910600255426,32.45210727969349,34.68710089399744,33.83780332056194,33.52490421455938
Sternaspis_scutata,31.696428571428598,32.70670826833074,33.57142857142858,34.285714285714285,34.01785714285714,33.39285714285717
Sternoptyx_pseudodiaphana,35,35,35,35,35,35
Stethojulis_albovittata,31.274193548387085,32.33231707317073,33.758064516129025,34.43548387096776,34.20967741935485,33.30645161290321
Stethojulis_balteata,30.715935334872967,32.27649006622516,33.38337182448037,33.787528868360255,34.27251732101617,33.14087759815245
Stethojulis_bandanensis,30.896017699115028,32.28310502283104,33.37389380530975,33.683628318584084,33.91592920353981,33.14159292035396
Stethojulis_marquesensis,35,33.65384615384617,35,35,35,35
Stethojulis_notialis,31.73333333333331,31.499999999999996,33.36666666666669,32.9,33.83333333333331,34.066666666666684
Stethojulis_strigiventer,30.831460674157288,32.4233128834356,33.4269662921348,33.97752808988761,34.2134831460674,33.19101123595509
Stethojulis_trilineata,31.796610169491508,31.559322033898326,33.45762711864405,34.050847457627135,34.050847457627135,33.33898305084746
Sthenocephalus_indicus,34.07894736842106,31.03448275862067,33.61842105263159,35,34.53947368421053,32.00657894736841
Sthenolepis_japonica,33.68942731277536,32.378854625550645,33.76651982378856,34.53744493392067,34.15198237885462,33.14977973568282
Sthenoteuthis_oualaniensis,30.205479452054828,32.079701120796976,31.382316313823157,33.16936488169367,33.73599003735989,31.905354919053558
Stichodactyla_tapetum,32.607594936708885,32.07142857142854,33.493670886075954,33.75949367088606,33.670886075949355,33.31645569620256
Stichopus_chloronotus,30.712694877505548,32.34848484848484,33.363028953229424,33.59688195991092,34.142538975501104,33.20712694877508
Stichopus_herrmanni,30.73363431151244,32.229832572298335,33.49887133182842,33.735891647855524,33.81489841986458,33.18284424379232
Stichopus_horrens,30.635103926097017,32.51577287066248,33.46420323325632,33.787528868360255,34.19168591224022,33.22170900692839
Stichopus_monotuberculatus,31.518817204301065,32.27150537634408,33.30645161290321,34.24731182795699,34.15322580645164,33.02419354838709
Stichopus_naso,32.463768115942024,31.32246376811594,33.85869565217391,33.73188405797098,33.47826086956519,32.97101449275361
Stichopus_variegatus,30.514874141876458,32.168284789644005,33.15789473684212,33.39816933638444,34.038901601830645,33.0778032036613
Stigmatoteuthis_hoylei,30.248041775456887,32.0300261096606,31.48172323759792,33.12663185378589,33.766318537859036,31.93864229765013
Stiliger_smaragdinus,35,35,35,35,35,35
Stiphodon_elegans,30.4645476772616,31.833740831295827,33.37408312958433,33.4596577017115,34.31540342298285,33.20293398533006
Stoeba_plicata,32.80104712041885,32.11340206185566,34.083769633507856,33.53403141361259,34.267015706806255,33.35078534031412
Stolephorus_apiensis,30.087719298245627,32.54385964912278,30.701754385964897,35,33.15789473684212,31.315789473684237
Stolephorus_indicus,32.49999999999998,31.93181818181817,33.749999999999986,34.090909090909086,33.863636363636374,33.18181818181818
Stolonica_duploplicata,31.951612903225815,32.73381294964032,33.758064516129025,34.54838709677418,33.983870967741936,33.4193548387097
Stomatella_auricula,30.979112271540437,32.0757180156658,33.263707571801554,33.72062663185377,34.08616187989558,33.172323759791084
Stomatella_impertusa,30.852601156069348,31.83333333333335,33.58381502890176,34.29190751445088,33.98843930635839,33.179190751445056
Stomatella_planulata,30.95430107526883,32.08333333333331,33.30645161290321,34.15322580645164,34.15322580645164,33.212365591397855
Stomatella_varia,31.223684210526287,32.32894736842106,33.34210526315788,33.98684210526318,34.17105263157894,33.15789473684212
Stomatia_heckeliana,30.88797814207651,32.03551912568308,33.374316939890704,34.04371584699456,34.13934426229509,33.18306010928965
Stomatia_phymotis,30.783132530120458,32.2738693467337,33.62951807228916,34.26204819277107,34.051204819277096,33.31325301204817
Stomatolina_rubra,33.09782608695654,33.66847826086955,34.23913043478263,33.66847826086955,33.66847826086955,33.47826086956519
Stomias_affinis,30.6721906256129,31.16297313198664,31.211021768974316,30.589821533634016,30.2809374387135,31.475289272406346
Stomias_atriventer,32.83950617283951,35,35,35,35,34.22222222222223
Stomias_colubrinus,35,35,35,35,35,35
Stomias_danae,30.963606683310907,31.171980026886857,31.24255809487232,30.61071634338389,30.30151718840022,31.447570578067978
Stomopneustes_variolaris,31.310810810810786,32.1621621621622,33.29729729729732,34.05405405405409,34.14864864864865,33.108108108108105
Stonogobiops_xanthorhinica,32.820512820512825,31.923076923076916,33.97435897435894,33.97435897435894,33.846153846153875,33.07692307692304
Stonogobiops_yasha,31.74418604651161,32.2277227722772,33.48837209302326,34.534883720930246,34.30232558139534,32.90697674418602
Streetsia_challengeri,30.02631578947371,33.035087719298275,31.070175438596486,33.4035087719298,33.77192982456138,31.868421052631586
Streetsia_mindanaonis,31.235849056603797,32.42452830188677,32.29245283018867,33.877358490566,33.877358490566,33.01886792452829
