"","feature","MM-NorESM2-MM_Percentile_phos_585","MM-IPSL-CM6A-LR_Percentile_phos_585","MM-GFDL-ESM4_Percentile_phos_585","MM-CMCC-ESM2_Percentile_phos_585","MM-CanESM5_Percentile_phos_585"
"8531","Valvaster_striatus",32.2727272727273,32.3636363636363,31.0909090909091,32,30.5454545454545
"8532","Vampyroteuthis_infernalis",32.2769373263353,32.5117565698479,31.8547436652917,33.5460251046025,31.8599776411403
"8533","Vanderhorstia_ambanoro",33.579335793358,31.90036900369,31.6420664206642,31.90036900369,30.8671586715867
"8534","Vanderhorstia_longimanus",32.2804054054054,32.1621621621622,31.8074324324324,32.0439189189189,30.8614864864865
"8535","Vanderhorstia_macropteryx",31.3157894736842,31.9298245614035,31.9298245614035,32.5438596491228,30.7017543859649
"8536","Vanderhorstia_ornatissima",33.8573883161512,33.0024813895782,33.4367245657568,32.3076923076923,31.5260545905707
"8537","Vanderhorstia_phaeosticta",33.131067961165,33.3009708737864,33.8106796116505,32.1116504854369,32.621359223301
"8538","Vanikoro_acuta",33.1137724550898,34.7904191616766,33.1137724550898,32.065868263473,32.2754491017964
"8539","Vanikoro_cancellata",32.1963824289406,32.3772609819121,30.8397932816537,32.015503875969,30.297157622739
"8540","Vanikoro_helicoidea",32.9972752043597,32.9807692307692,33.3733974358975,32.3076923076923,30.849358974359
"8541","Vanvoorstia_spectabilis",34.5833333333333,34.2045454545455,33.9024390243902,33.5032894736842,32.7564102564103
"8542","Variola_albimarginata",32.1158129175946,32.5835189309577,30.6347438752784,32.1937639198218,30.6347438752784
"8543","Variola_louti",32.9732739420935,32.5,30.1829268292683,32.3170731707317,30.7317073170731
"8544","Varuna_litterata",32.2783825816485,32.4961119751166,30.5365474339036,32.3328149300155,30.5365474339036
"8545","Vasticardium_angulatum",31.8795180722892,32.3855421686747,30.6987951807229,31.7951807228916,30.6987951807229
"8546","Vasticardium_elongatum",31.9975490196078,32.3406862745098,30.8823529411764,31.7401960784314,30.625
"8547","Vasticardium_flavum",33.4671532846715,31.6788321167883,31.0401459854015,31.9343065693431,30.529197080292
"8548","Vasticardium_luteomarginatum",34.1923076923077,34.2222222222222,35,33.4444444444445,33.4444444444445
"8549","Vasticardium_papuanum",33.3226837060703,31.9808306709266,31.1980830670926,31.7571884984026,30.6389776357827
"8550","Vasticardium_pectiniforme",31.9565217391304,32.5652173913044,30.4347826086956,32.0326086956522,30.3586956521739
"8551","Vasticardium_sewelli",33.4290843806104,32.7574370709382,34.279176201373,32.0366132723112,31.5560640732266
"8552","Vasum_ceramicum",32.4774774774775,32.3198198198198,30.9009009009009,32.0833333333333,30.822072072072
"8553","Vasum_turbinellum",32.2946859903382,32.3792270531401,30.9420289855072,32.0410628019324,30.5193236714976
"8554","Vayssierea_caledonica",35,34.25,34.125,34.0540540540541,32.6666666666667
"8555","Venericythere_darwini",35,33.2246376811594,33.4782608695652,32.463768115942,33.2246376811594
"8556","Venitus_latreillei",33.2857142857143,31.7142857142857,31.4285714285714,31.5714285714285,30.5714285714286
"8557","Venus_toreuma",32.3417721518987,32.5189873417721,30.9240506329114,31.9873417721519,30.5696202531646
"8558","Veprecula_vacillata",32.7564102564103,32.7564102564103,33.8034188034188,32.008547008547,32.1581196581196
"8559","Vepricardium_asiaticum",33.1578947368421,31.9298245614035,31.3157894736842,31.8070175438597,30.7017543859649
"8560","Vermiliopsis_glandigerus",32.1919770773639,32.1919770773639,31.3896848137536,31.7908309455587,30.6876790830945
"8561","Verruca_cookei",33.849765258216,33.136690647482,34.4214876033058,33.5297131147541,30.8705035971223
"8562","Vespicula_trachinoides",33.1504065040651,31.7276422764227,31.30081300813,31.7276422764227,30.5894308943089
"8563","Vexilla_vexillum",32.5942350332594,32.2838137472284,30.8869179600887,32.1286031042129,30.8869179600887
"8564","Vexillum_amabile",31.3453815261045,32.1887550200803,31.3453815261045,31.6265060240964,30.6425702811245
"8565","Vexillum_amandum",33.3266932270916,31.792828685259,31.6533864541833,31.6533864541833,30.6772908366534
"8566","Vexillum_aureolatum",32.1498371335505,32.3778501628665,31.2377850162867,31.3517915309446,30.7817589576547
"8567","Vexillum_aureolineatum",33.8098918083462,32.9931192660551,33.9564220183486,32.3509174311926,31.4678899082569
"8568","Vexillum_cadaverosum",32.3546511627907,32.4563953488372,32.3546511627907,31.8459302325581,31.3372093023256
"8569","Vexillum_cancellarioides",33.6641221374046,32.5228310502283,32.7625570776256,32.283105022831,31.4840182648402
"8570","Vexillum_cavea",32.4910394265233,31.989247311828,31.7383512544803,31.989247311828,30.6093189964157
"8571","Vexillum_consanguineum",31.71875,32.0833333333333,33.5416666666667,31.71875,32.4479166666667
"8572","Vexillum_costatum",32.0898876404494,32.561797752809,30.3595505617977,32.1685393258427,30.5168539325842
"8573","Vexillum_crocatum",32.1074380165289,32.396694214876,30.9504132231405,31.9146005509642,30.6611570247934
"8574","Vexillum_deshayesi",32.1849865951743,32.372654155496,30.7774798927614,31.9973190348526,30.6836461126005
"8575","Vexillum_discolorium",32.075208913649,32.3676880222841,31.1977715877437,31.8802228412256,30.6128133704735
"8576","Vexillum_echinatum",34.1907514450867,33.9884393063584,35,33.5838150289018,32.5722543352601
"8577","Vexillum_exasperatum",32.1774193548387,32.3655913978494,30.7661290322581,31.989247311828,30.6720430107527
"8578","Vexillum_festum",32.1511627906976,32.2529069767442,32.0494186046511,31.8459302325581,31.5406976744186
"8579","Vexillum_granosum",32.1757925072046,32.2766570605187,31.3688760806917,31.8731988472622,30.864553314121
"8580","Vexillum_gruneri",32.3925501432665,32.2922636103152,31.3896848137536,31.7908309455587,30.6876790830945
"8581","Vexillum_infaustum",32.3224043715847,32.4180327868853,30.792349726776,32.0355191256831,30.5054644808743
"8582","Vexillum_interruptum",32.2835820895522,32.2835820895522,31.3432835820896,31.6567164179104,30.5074626865672
"8583","Vexillum_interstriatum",33.125,32.03125,33.125,31.71875,31.71875
"8584","Vexillum_intertaeniatum",32.1345029239766,32.4415204678363,30.906432748538,31.7251461988304,30.8040935672515
"8585","Vexillum_kuiperi",32.3584905660377,32.7987421383648,34.1194968553459,33.4591194968554,32.1383647798742
"8586","Vexillum_ligatum",33.7772925764192,33.4782608695652,35,33.9130434782609,33.9130434782609
"8587","Vexillum_lucidum",32.2777777777778,32.2777777777778,31.1111111111111,32.0833333333333,30.625
"8588","Vexillum_lyratum",33.4349593495935,32.0121951219512,31.4430894308943,31.7276422764227,30.8739837398374
"8589","Vexillum_melongena",32.3417721518987,32.3417721518987,33.4493670886076,32.5632911392405,31.6772151898734
"8590","Vexillum_microzonias",32.6190476190476,32.3015873015873,30.9523809523809,32.1428571428572,30.9523809523809
"8591","Vexillum_millecostatum",32.1961325966851,32.3895027624309,31.0359116022099,31.9060773480663,30.7458563535912
"8592","Vexillum_modestum",32.2980251346499,32.3608617594255,30.6642728904847,32.1095152603231,30.5385996409336
"8593","Vexillum_obeliscus",32.5438596491228,32.3391812865497,31.1111111111111,32.0321637426901,30.3947368421053
"8594","Vexillum_pacificum",32.241847826087,32.3369565217391,30.8152173913044,32.0516304347826,30.625
"8595","Vexillum_plicarium",32.5694444444445,32.0833333333333,31.5972222222222,31.8402777777778,30.625
"8596","Vexillum_polygonum",32.2835820895522,32.2835820895522,31.3432835820896,31.6567164179104,30.5074626865672
"8597","Vexillum_radix",31.9909502262443,32.4660633484163,30.5656108597285,31.9909502262443,30.4072398190045
"8598","Vexillum_roseum",33.0387931034483,31.6810344827586,31.228448275862,31.8318965517241,30.926724137931
"8599","Vexillum_rugosum",33.18,31.78,31.36,31.64,30.66
"8600","Vexillum_salisburyi",33.1194029850746,32.910447761194,33.955223880597,32.1791044776119,31.3432835820896
"8601","Vexillum_sculptile",31.9938650306748,32.5664621676892,30.562372188139,32.0654396728016,30.7055214723926
"8602","Vexillum_semicostatum",32.1791044776119,32.2835820895522,31.4477611940299,31.7611940298507,30.7164179104478
"8603","Vexillum_semifasciatum",32.2766570605187,32.478386167147,30.864553314121,31.7723342939481,30.864553314121
"8604","Vexillum_turben",32.7124183006536,34.4281045751634,33.7418300653595,32.5980392156863,32.4415204678363
"8605","Vexillum_turrigerum",32.2777777777778,32.375,31.0138888888889,31.9861111111111,30.625
"8606","Vexillum_unifasciatum",32.2701949860724,32.2701949860724,31.4902506963788,31.8802228412256,30.8077994428969
"8607","Vexillum_virgo",32.2459016393443,32.3606557377049,31.2131147540983,31.4426229508196,30.7540983606557
"8608","Vexillum_vulpecula",33.3969465648855,31.9274809160306,31.3931297709924,31.793893129771,30.7251908396947
"8609","Vexillum_zebuense",33.0472103004291,32.8969957081545,33.7982832618026,31.8454935622318,32.7467811158798
"8610","Vexillum_zelotypum",32.1488764044944,32.3455056179775,31.558988764045,31.9522471910112,31.0674157303371
"8611","Vibilia_australis",32.7286135693215,33.7610619469026,32.6253687315634,32.6253687315634,30.5604719764011
"8612","Vibilia_chuni",35,35,35,35,35
"8613","Vibilia_gibbosa",34.5731707317073,34.656862745098,35,34.3636363636364,31.1585365853658
"8614","Vibilia_propinqua",30.7928388746803,31.3299232736573,32.5831202046036,31.4194373401535,30.1662404092071
"8615","Vibilia_stebbingi",32.7564102564103,32.3076923076923,32.7564102564103,32.9807692307692,30.7371794871795
"8616","Vinciguerria_attenuata",31.1605484930724,30.5965185394849,30.8604407135362,30.0021679433444,31.4018691588785
"8617","Vinciguerria_lucetia",30.8242525845208,30.2081587035485,31.1176306230791,30.457530036323,30.3841855266834
"8618","Vinciguerria_poweriae",30.0014652730292,30.1791941108098,30.0031149413353,30.0416377515614,30.0031562335613
"8619","Virgularia_juncea",32.6524390243902,33.2926829268293,34.3597560975609,33.0792682926829,32.6524390243902
"8620","Vitreledonella_richardi",30.3133438867678,30.1014992084924,30.0884626129062,30.5023745227675,30.3524536735264
"8621","Vitularia_crenifer",31.2048192771084,32.4698795180723,33.5240963855421,33.1024096385542,32.4698795180723
"8622","Vitularia_miliaris",32.2069825436409,32.4688279301746,30.9850374064838,31.9451371571072,30.4613466334164
"8623","Volachlamys_singaporina",33.3547008547008,31.8589743589743,31.2606837606838,31.5598290598291,30.8119658119658
"8624","Volva_volva",33.25,31.7692307692308,31.5,31.7692307692308,30.6923076923077
"8625","Volvarina_philippinarum",31.7008196721311,31.7008196721311,30.5532786885246,31.9877049180328,30.8401639344262
"8626","Vosmaeropsis_hozawai",34.1566265060241,33.3132530120482,32.8915662650602,33.7349397590362,34.1566265060241
"8627","Vulsella_vulsella",33.2786885245902,31.7008196721311,31.4139344262295,31.5573770491804,30.5532786885246
"8628","Wallucina_fijiensis",32.379679144385,32.379679144385,30.7887700534759,32.0053475935829,30.6951871657754
"8629","Wattsia_mossambica",32.3648648648648,32.5675675675676,30.472972972973,32.2972972972973,30.8108108108108
"8630","Wetmorella_nigropinnata",32.6614699331848,32.3496659242762,30.8685968819599,32.1158129175946,30.8685968819599
"8631","Wetmorella_tanakai",33.955223880597,33.955223880597,35,33.955223880597,33.4328358208955
"8632","Wrangelia_bicuspidata",32.8424657534247,31.8835616438356,30.6849315068493,30.9246575342466,30.9246575342466
"8633","Wunderpus_photogenicus",33.2964601769911,31.7477876106195,31.5929203539823,31.5929203539823,31.1283185840708
"8634","Xanthias_lamarcki",32.6061320754717,32.6061320754717,30.625,32.0283018867925,30.872641509434
"8635","Xanthias_latifrons",33.3464566929133,32.6498800959232,30.6354916067146,31.9784172661871,30.9712230215828
"8636","Xanthias_punctatus",32.4708624708625,32.7156177156177,30.5128205128205,31.981351981352,30.9207459207459
"8637","Xanthichthys_auromarginatus",32.9931192660551,32.7522935779817,33.9564220183486,32.1903669724771,31.7087155963303
"8638","Xanthichthys_caeruleolineatus",32.0708154506438,32.3712446351931,31.244635193133,32.0708154506438,31.1695278969957
"8639","Xanthichthys_lineopunctatus",32.0494186046511,32.3546511627907,31.3372093023256,31.7441860465116,30.625
"8640","Xanthichthys_mento",33.1273885350318,32.4254473161034,30.5467196819086,32.1471172962227,30.8250497017893
"8641","Xenaploactis_cautes",33.5537190082645,34.1322314049587,35,33.8429752066115,33.5537190082645
"8642","Xenisthmus_eirospilus",33.3684210526316,32.4487471526196,31.7312072892938,32.129840546697,31.4123006833713
"8643","Xenisthmus_polyzonatus",32.591743119266,32.2706422018349,30.9862385321101,32.1100917431192,30.9059633027523
"8644","Xenobrochus_africanus",35,34.1822429906542,34.8364485981308,33.3644859813084,34.3457943925234
"8645","Xenocephalus_elongatus",30.6974879743453,31.7824692677713,32.4559059326564,31.3522180652058,31.0154997327632
"8646","Xenoconger_fryeri",30.4705882352941,34.5882352941177,31.9117647058823,31.5,31.0882352941176
"8647","Xenodermichthys_nodulosus",32.5612903225807,32.1548387096774,31.3870967741936,32.0645161290322,30.1225806451613
"8648","Xenojulis_margaritaceus",33.3187772925764,31.6375545851528,31.4847161572052,31.6375545851528,30.8733624454149
"8649","Xenolepidichthys_dalgleishi",35,35,35,35,30.4166666666667
"8650","Xenomystax_atrarius",33.9393939393939,33.9393939393939,35,35,35
"8651","Xenophora_cerea",32.4142480211082,32.5065963060686,32.0448548812665,32.0448548812665,31.2137203166227
"8652","Xenophora_corrugata",32.0366132723112,32.5171624713959,30.2745995423341,32.116704805492,30.1945080091533
"8653","Xenophora_pallidula",32.2988505747126,32.7011494252873,33.2758620689655,32.3563218390805,30.6896551724138
"8654","Xenophora_solaris",33.25,31.9666666666667,31.15,31.85,30.45
"8655","Xenophthalmichthys_danae",30.5495902797401,30.7177168691721,31.1281435433739,30.4012432890647,30.4704718847132
"8656","Xenoturris_cingulifera",32.2788203753351,32.4664879356568,31.4343163538874,32.0911528150134,30.7774798927614
"8657","Xenuroturris_kingae",32.7297297297298,32.1621621621622,31.972972972973,31.5945945945946,31.027027027027
"8658","Xestochilus_nebulosus",34.2178770949721,33.717277486911,34.3586387434555,33.1675392670157,32.2513089005236
"8659","Xestospongia_bergquistia",32.0596205962059,32.3441734417344,31.30081300813,31.869918699187,30.8265582655827
"8660","Xiphasia_matsubarai",30.5472738411272,30.3257096181336,30.2828262201348,30.904635491117,30.5472738411272
"8661","Xiphias_gladius",30.0153394114851,30.0010820168795,30.0008078849572,30.0008656509695,30.0114698753463
"8662","Xiphocheilus_typus",32.2394366197183,32.4366197183099,31.4507042253521,31.7464788732394,30.7605633802817
"8663","Xyrias_revulsus",33.3574007220217,31.841155234657,32.0938628158844,31.9675090252708,30.4512635379061
"8664","Yarica_hyalosoma",31.5573770491804,32.2745901639344,30.983606557377,31.7008196721311,30.4098360655738
"8665","Yirrkala_lumbricoides",32.1146953405018,32.1146953405018,31.989247311828,31.7383512544803,31.1111111111111
"8666","Yirrkala_misolensis",32.8846153846154,33.4615384615385,34.4230769230769,33.2692307692307,32.6923076923077
"8667","Ylistrum_balloti",33.8947368421052,33.440594059406,33.9603960396039,33.2673267326732,32.9207920792079
"8668","Yongeichthys_criniger",32.2394366197183,32.2394366197183,31.3521126760563,31.8450704225352,30.7605633802817
"8669","Zafra_comistea",34.7328244274809,34.6666666666666,34.7651006711409,33.6666666666667,33.6666666666667
"8670","Zafra_hervieri",32.3150684931507,32.4109589041096,30.8767123287671,32.0273972602739,30.7808219178082
"8671","Zafra_ornata",32.8483606557377,32.561475409836,33.7090163934426,31.9877049180328,31.5573770491804
"8672","Zafra_succinea",32.2625698324022,32.3603351955307,31.0893854748604,32.0670391061453,30.6983240223464
"8673","Zafra_troglodytes",32.3455056179775,32.3455056179775,31.2640449438202,32.0505617977528,30.6741573033708
"8674","Zafra_vercoi",32.2933333333333,32.3866666666667,30.8,32.0133333333333,30.3333333333333
"8675","Zafrona_isomella",33.8661971830986,33.1770833333333,34.125,32.59375,31.3541666666667
