solutions,scenario,model,metric,approach
s275,SSP5-8.5,CanESM5,phos,climate priority area
s276,SSP5-8.5,CMCC-ESM2,phos,climate priority area
s277,SSP5-8.5,GFDL-ESM4,phos,climate priority area
s278,SSP5-8.5,IPSL-CM6A-LR,phos,climate priority area
s279,SSP5-8.5,NorESM2-MM,phos,climate priority area
s280,SSP5-8.5,CanESM5,o2os,climate priority area
s281,SSP5-8.5,CMCC-ESM2,o2os,climate priority area
s282,SSP5-8.5,GFDL-ESM4,o2os,climate priority area
s283,SSP5-8.5,IPSL-CM6A-LR,o2os,climate priority area
s284,SSP5-8.5,NorESM2-MM,o2os,climate priority area
s285,SSP5-8.5,CanESM5,velocity,climate priority area
s286,SSP5-8.5,CMCC-ESM2,velocity,climate priority area
s287,SSP5-8.5,GFDL-ESM4,velocity,climate priority area
s288,SSP5-8.5,IPSL-CM6A-LR,velocity,climate priority area
s289,SSP5-8.5,NorESM2-MM,velocity,climate priority area
s290,SSP5-8.5,EM,MHW_SumCumInt,percentile
s291,SSP5-8.5,EM,MHW_SumCumInt,feature
s292,SSP5-8.5,EM,MHW_SumCumInt,penalty
s293,SSP5-8.5,EM,MHW_SumCumInt,climate priority area
s294,SSP5-8.5,CanESM5,MHW_SumCumInt,percentile
s295,SSP5-8.5,CMCC-ESM2,MHW_SumCumInt,percentile
s296,SSP5-8.5,GFDL-ESM4,MHW_SumCumInt,percentile
s297,SSP5-8.5,IPSL-CM6A-LR,MHW_SumCumInt,percentile
s298,SSP5-8.5,NorESM2-MM,MHW_SumCumInt,percentile
s299,SSP1-2.6,EM,MHW_SumCumInt,percentile
s300,SSP1-2.6,EM,MHW_SumCumInt,feature
s301,SSP1-2.6,EM,MHW_SumCumInt,penalty
s302,SSP1-2.6,EM,MHW_SumCumInt,climate priority area
s303,SSP2-4.5,EM,MHW_SumCumInt,percentile
s304,SSP2-4.5,EM,MHW_SumCumInt,feature
s305,SSP2-4.5,EM,MHW_SumCumInt,penalty
s306,SSP2-4.5,EM,MHW_SumCumInt,climate priority area
s307,SSP5-8.5,CanESM5,MHW_SumCumInt,feature
s308,SSP5-8.5,CMCC-ESM2,MHW_SumCumInt,feature
s309,SSP5-8.5,GFDL-ESM4,MHW_SumCumInt,feature
s310,SSP5-8.5,IPSL-CM6A-LR,MHW_SumCumInt,feature
s311,SSP5-8.5,NorESM2-MM,MHW_SumCumInt,feature
s312,SSP5-8.5,CanESM5,MHW_SumCumInt,penalty
s313,SSP5-8.5,CMCC-ESM2,MHW_SumCumInt,penalty
s314,SSP5-8.5,GFDL-ESM4,MHW_SumCumInt,penalty
s315,SSP5-8.5,IPSL-CM6A-LR,MHW_SumCumInt,penalty
s316,SSP5-8.5,NorESM2-MM,MHW_SumCumInt,penalty
s317,SSP5-8.5,CanESM5,MHW_SumCumInt,climate priority area
s318,SSP5-8.5,CMCC-ESM2,MHW_SumCumInt,climate priority area
s319,SSP5-8.5,GFDL-ESM4,MHW_SumCumInt,climate priority area
s320,SSP5-8.5,IPSL-CM6A-LR,MHW_SumCumInt,climate priority area
s321,SSP5-8.5,NorESM2-MM,MHW_SumCumInt,climate priority area
s322,SSP1-2.6,CanESM5,MHW_SumCumInt,percentile
