"","feature","EM_Percentile_velocity_585","EM_Percentile_o2os_585","EM_Percentile_phos_585","EM_Percentile_tos_585"
"7001","Pterognathia_ctenifera",31.5492957746479,32.6995305164319,35,31.7136150234742
"7002","Pteroidichthys_acutus",32.2159090909091,34.0056818181818,32.0170454545455,31.4204545454545
"7003","Pteroidichthys_amboinensis",33.5576923076923,32.4038461538462,30.2884615384616,31.25
"7004","Pteroidichthys_caussei",33.5106382978723,34.0277777777778,35,30.1162790697674
"7005","Pterois_antennata",33.047520661157,31.6735537190083,30.2272727272727,31.1673553719008
"7006","Pterois_lunulata",34.0996784565916,31.566037735849,30.6415094339623,33.2830188679246
"7007","Pterois_mombasae",32.2142857142857,32.4528301886792,30.0943396226415,31.3207547169811
"7008","Pterois_paucispinula",33.3365019011407,32.2718631178707,30.3422053231939,31.0076045627377
"7009","Pterois_radiata",32.9321663019693,31.4770240700219,30.3282275711159,30.9409190371991
"7010","Pterois_russelii",32.7485380116959,31.2126865671642,30.4291044776119,33.0410447761194
"7011","Pterois_volitans",32.8125,32.0623501199041,30.0479616306955,31.2230215827338
"7012","Pterometra_trichopoda",33.2451253481894,32.3720136518771,30.8191126279863,33.0887372013652
"7013","Pteroplatytrygon_violacea",32.1118983121483,31.9525547445255,30.1420879449596,32.5403797109663
"7014","Pteropsaron_incisum",31.8181818181818,35,31.8181818181818,35
"7015","Pterosagitta_draco",32.4622356495468,31.9864048338369,30.4531722054381,30.2416918429003
"7016","Pterotrachea_coronata",32.2565320665083,31.7723342939481,30.3602305475504,31.5706051873199
"7017","Pterycombus_petersii",31.9194312796208,30.6161616161616,30.5360269360269,31.040404040404
"7018","Pterygia_arctata",33.3289124668435,32.5862068965517,30.8222811671088,31.1936339522546
"7019","Pterygia_fenestrata",33.4604105571847,32.0234604105572,30.6891495601173,31.099706744868
"7020","Pterygia_scabricula",33.2880434782609,32.241847826087,30.7201086956522,31.2907608695652
"7021","Pterygioteuthis_gemmata",32.276428894586,32.9098805646037,30.2919765785726,33.0994960169078
"7022","Pterygioteuthis_giardi",32.7769571639586,31.7429837518464,30.7607090103398,30.5022156573116
"7023","Pterygotrigla_andertoni",33.4090909090909,35,35,35
"7024","Pterygotrigla_cajorarori",33.7965616045845,32.9276315789473,30.8552631578947,33.2730263157895
"7025","Pterygotrigla_hemisticta",32.6912928759894,31.1612903225807,30.4838709677419,32.5161290322581
"7026","Pterygotrigla_leptacanthus",33.5012594458438,32.4433249370277,31.2090680100755,32.5314861460957
"7027","Pterygotrigla_multiocellata",33.3229166666667,33.1041666666667,31.0625,31.5
"7028","Pterygotrigla_ryukyuensis",32.5888888888889,32.48,30.4266666666667,32.5733333333333
"7029","Pterygotrigla_tagala",32.5126903553299,33.4010152284264,32.5126903553299,32.8680203045685
"7030","Pterymarchia_barclayana",33.5294117647058,32.3529411764706,30.8823529411764,31.4705882352941
"7031","Pterynotus_barclayanus",33.357771260997,32.0234604105572,30.6891495601173,30.8944281524927
"7032","Pterynotus_elongatus",32.0246085011186,32.7130681818181,30.7244318181818,31.5198863636364
"7033","Pterynotus_martinetana",33.5655737704918,32.4180327868853,30.6967213114754,31.2704918032787
"7034","Pterynotus_pellucidus",33.5416666666667,32.4722222222222,30.5277777777778,31.5
"7035","Pugilina_cochlidium",33.5913312693498,31.685606060606,30.625,32.6136363636364
"7036","Pugilina_colosseus",33.0089820359281,31.5917602996255,30.4119850187266,32.3782771535581
"7037","Pullosquilla_litoralis",32.2754491017964,32.4850299401198,33.1137724550898,31.122754491018
"7038","Pullosquilla_malayensis",34.6236559139785,34.6236559139785,35,34.6236559139785
