"","feature","MM-NorESM2-MM_Percentile_o2os_585","MM-IPSL-CM6A-LR_Percentile_o2os_585","MM-GFDL-ESM4_Percentile_o2os_585","MM-CMCC-ESM2_Percentile_o2os_585","MM-CanESM5_Percentile_o2os_585"
"2845","Echinopora_hirsutissima",31.2215909090909,34.2246835443038,32.0094936708861,34.8892405063291,33.3386075949367
"2846","Echinopora_horrida",31.1111111111111,33.9457831325301,32.3644578313253,34.894578313253,33.5240963855421
"2847","Echinopora_lamellosa",30.9779951100245,34.041095890411,32.2191780821918,34.9041095890411,33.5616438356164
"2848","Echinopora_pacificus",30.9504132231405,34.0396341463415,32.1189024390244,34.8932926829269,33.5060975609756
"2849","Echinorhinus_brucus",32.3456790123456,32.7777777777778,32.7160493827161,34.7530864197531,32.9012345679012
"2850","Echinorhinus_cookei",31.6532618409294,33.2040572792363,31.6587112171837,34.5405727923628,32.4105011933174
"2851","Echinosquilla_guerinii",31.1048387096774,33.9230769230769,33.8333333333333,34.3717948717949,33.5641025641025
"2852","Echinostrephus_aciculatus",31.0897435897436,34.1169724770642,32.0298165137615,34.9197247706422,33.2339449541284
"2853","Echinostrephus_molaris",30.9862385321101,34.0979381443299,32.2938144329897,34.909793814433,33.3762886597938
"2854","Echinothrix_calamaris",30.9183673469388,34.1463414634146,31.7987804878049,34.7865853658536,32.9369918699187
"2855","Echinothrix_diadema",30.968,34.0769230769231,31.9230769230769,34.8461538461539,33.076923076923
"2856","Echiodon_anchipterus",31.0714285714286,34.3445692883895,31.4606741573034,34.8689138576779,33.4269662921348
"2857","Echiostoma_barbatum",30.1108466349295,30.4915862304604,30.5005552233706,30.034167592039,30.7008627316989
"2858","Ecionemia_acervus",31.006006006006,33.9322033898305,31.6779661016949,34.8813559322034,33.3389830508475
"2859","Ecsenius_aequalis",31.0882352941176,33.8013698630137,34.041095890411,35,34.5205479452055
"2860","Ecsenius_bandanus",32.0833333333333,33.90625,32.0833333333333,35,32.0833333333333
"2861","Ecsenius_bathi",32.3224043715847,34.0437158469946,30.0273224043716,34.8087431693989,32.5136612021858
"2862","Ecsenius_bicolor",30.8401639344262,34.1293532338308,32.1268656716418,34.9129353233831,33.3457711442786
"2863","Ecsenius_fijiensis",30.3846153846154,33.8461538461539,35,33.8461538461539,33.1958762886598
"2864","Ecsenius_fourmanoiri",31.8181818181818,35,34.6464646464647,35,33.9393939393939
"2865","Ecsenius_isos",31,33.3333333333333,33.6666666666667,35,34.3333333333333
"2866","Ecsenius_lineatus",30.9124087591241,34.0789473684211,32.2368421052632,34.9078947368421,33.3421052631579
"2867","Ecsenius_midas",30.8790322580645,34.070796460177,31.9026548672566,34.8451327433628,33.0641592920354
"2868","Ecsenius_opsifrontalis",32.0560747663551,34.018691588785,34.3457943925234,34.6728971962617,32.7102803738318
"2869","Ecsenius_pardus",31.5972222222222,33.5416666666667,35,33.5416666666667,34.0277777777778
"2870","Ecsenius_portenoyi",31.8181818181818,33.6742424242424,33.6742424242424,35,34.4696969696969
"2871","Ecsenius_schroederi",31.4890282131662,34.0823970037453,31.7228464419476,34.8689138576779,33.5580524344569
"2872","Ecsenius_sellifer",33.9705882352941,33.7132352941177,30.110294117647,35,32.6838235294117
"2873","Ecsenius_tessera",31.08,33.6,33.88,35,34.44
"2874","Ecsenius_trilineatus",31.6206896551724,33.9019607843137,31.0196078431373,34.8627450980392,33.2156862745098
"2875","Ecteinascidia_diaphanis",30.975935828877,34.0512048192771,32.1536144578313,34.894578313253,33.4186746987952
"2876","Ecteinascidia_imperfecta",30.9090909090909,33.7878787878788,33.9393939393939,35,33.7878787878788
"2877","Ecteinascidia_nexa",31.3653846153846,34.1699604743083,31.5415019762846,34.8616600790514,33.201581027668
"2878","Ecteinascidia_sluiteri",30.9339407744874,34.2893401015229,32.0685279187818,34.9111675126903,33.4010152284264
"2879","Ectreposebastes_imus",31.1801414505617,30.7049714751426,30.680521597392,30.8149959250204,30.880195599022
"2880","Eduarctus_aesopius",31.5267175572519,34.3,31.36,34.86,33.18
"2881","Eduarctus_reticulatus",32.3655913978494,34.247311827957,34.0591397849462,35,34.0591397849462
"2882","Edwardsianthus_pudica",31.2407407407407,34.0354330708661,31.1417322834645,34.8622047244094,33.2086614173229
"2883","Egea_inermis",31.8543209876543,33.0070377479207,31.4171465131158,33.0742162507997,31.0588611644274
"2884","Eguchipsammia_gaditana",35,35,35,35,35
"2885","Ehlersileanira_incisa",35,35,35,35,35
"2886","Eilhardia_schulzei",35,35,31.3157894736842,35,35
"2887","Elagatis_bipinnulata",30.8971291866028,34.3290734824281,31.1980830670926,34.664536741214,33.4345047923323
"2888","Elates_ransonnettii",30.8185840707965,34.5333333333333,31.1111111111111,34.8444444444445,33.1333333333333
"2889","Electroma_alacorvi",31.3216560509554,33.9322033898305,31.6779661016949,34.8813559322034,33.457627118644
"2890","Electroma_physoides",31.5415019762846,34.5394736842105,31.469298245614,34.8464912280702,33.4649122807018
"2891","Electrona_risso",31.0257633587787,31.5175671685857,31.496899911426,31.039596984429,30.9595512252731
"2892","Eledone_palari",32.0212765957447,32.6595744680851,32.9787234042553,34.7872340425532,34.2553191489362
"2893","Eleotris_acanthopoma",30.9504132231405,34.2598187311178,32.1450151057402,34.8942598187311,33.4138972809668
"2894","Eleotris_fusca",31.0017574692443,34.2553191489362,32.1040189125295,34.9172576832151,33.0141843971631
"2895","Eleotris_melanosoma",31.5,34.2391304347826,31.5760869565217,34.8731884057971,33.3514492753623
"2896","Eleutherochir_opercularis",31.2546125461254,33.9272030651341,31.5134099616858,34.8659003831417,33.2567049808429
"2897","Ellobium_aurisjudae",32.183908045977,34.5977011494253,31.3793103448276,34.7988505747126,33.3908045977012
"2898","Ellochelon_vaigiensis",31.0076045627377,34.3034825870647,32.0398009950249,34.9129353233831,33.2587064676617
"2899","Elops_hawaiensis",30.6412639405204,34.0563725490196,31.9975490196078,34.9142156862745,33.2843137254902
"2900","Elops_machnata",31.0126582278481,33.9955849889624,32.0640176600442,34.9227373068433,33.3774834437086
"2901","Elops_saurus",30.4347826086956,34.2147435897436,31.0737179487179,34.775641025641,33.0929487179487
"2902","Elphidium_articulatum",35,35,35,35,35
"2903","Elysia_ornata",30.9901800327332,34.0728476821192,31.9094922737307,34.9227373068433,33.0684326710817
"2904","Elysia_tomentosa",30.9661016949152,33.90625,31.5972222222222,34.8784722222222,33.4201388888889
"2905","Emarginula_maculata",31.9565217391304,33.8503649635036,31.1678832116788,34.8722627737226,33.3394160583942
"2906","Ematops_randalli",31.3517915309446,34.4927536231884,31.0688405797101,34.8731884057971,32.9710144927536
"2907","Embletonia_gracilis",30.9757942511347,34.194560669456,32.2175732217573,34.8535564853556,33.3158995815899
"2908","Emmelichthys_karnellai",31.0196078431373,33.8709677419355,33.1182795698924,35,32.1774193548387
"2909","Emmelichthys_struhsakeri",31.8224932249323,33.6215753424657,32.2431506849315,34.7003424657534,33.2020547945206
"2910","Emydocephalus_annulatus",30.9463276836158,34.0396341463415,32.1189024390244,34.8932926829269,33.3993902439024
"2911","Encheliophis_boraborensis",31.0182584269663,34.041095890411,31.9178082191781,34.7945205479452,33.013698630137
"2912","Encheliophis_gracilis",30.8980213089802,34.1157894736842,31.9052631578948,34.7789473684211,32.9368421052632
"2913","Encheliophis_homei",31.1764705882353,34.1898148148148,31.9212962962963,34.9189814814815,33.2986111111111
"2914","Encheliophis_vermicularis",31.171875,34.5379537953795,31.8811881188118,34.7689768976898,33.2673267326732
"2915","Enchelycore_bayeri",31.1030927835051,34.0861618798956,31.6187989556136,34.9086161879895,33.4464751958224
"2916","Enchelycore_nigricans",30.8602150537634,34.1400491400492,32.1621621621622,34.9140049140049,33.3660933660934
"2917","Enchelycore_pardalis",30.9351432880845,34.1231732776618,31.7849686847599,34.7807933194154,32.9540709812109
"2918","Enchelycore_schismatorhynchus",30.5988023952096,34.2493297587132,30.7774798927614,34.4369973190349,32.9356568364611
"2919","Enchelynassa_canina",31.1036468330134,34.2427884615384,31.8870192307692,34.9158653846154,33.3173076923077
"2920","Enchelyurus_ater",30.8333333333333,34.0613026819923,34.0613026819923,35,33.3908045977012
"2921","Enchelyurus_kraussii",31.1505922165821,34.1841491841492,31.8181818181818,34.9184149184149,33.041958041958
"2922","Encrasicholina_devisi",31.053412462908,34.1111111111111,31.6666666666666,34.8888888888889,33.4444444444445
"2923","Encrasicholina_heteroloba",30.9654178674352,33.9936102236422,31.5335463258786,34.888178913738,33.4345047923323
"2924","Endeis_biseriata",30.9519572953737,34.1504854368932,32.1116504854369,34.9150485436893,33.3009708737864
"2925","Endeis_flaccida",31.4627659574468,34.0652818991098,32.0919881305638,34.8961424332344,33.4421364985163
"2926","Endeis_meridionalis",31.3541666666667,33.9921465968587,32.2513089005236,34.9083769633508,33.6256544502618
"2927","Endeis_mollis",30.926724137931,34.1358024691358,32.1481481481481,34.9135802469135,33.358024691358
"2928","Endeis_nodosa",31.375,34.1630434782609,32.0326086956522,34.9239130434783,33.4021739130435
"2929","Endopachys_grayi",31.1926605504588,33.8454861111111,31.9618055555555,34.7569444444445,32.8125
"2930","Engina_alveolata",31.5492957746479,34.0754716981132,31.566037735849,34.8679245283019,33.2830188679246
"2931","Engina_concinna",31.2335958005249,34.1740412979351,32.2123893805309,34.8967551622419,33.5545722713865
"2932","Engina_incarnata",31.1512027491409,33.8829787234042,31.6489361702128,34.8758865248227,33.386524822695
"2933","Engina_lineata",31.0526315789474,34.0331491712707,32.292817679558,34.9033149171271,33.5497237569061
"2934","Engina_mendicaria",30.9463276836158,34.1463414634146,32.2256097560976,34.8932926829269,33.3993902439024
"2935","Engina_menkeana",31.8274853801169,34.2096774193548,31.7258064516129,34.8870967741936,33.6451612903226
"2936","Engina_phasinola",32.2893617021277,32.0808510638297,32.7063829787234,33.1531914893617,30.4723404255319
"2937","Engina_siderea",31.0730421686747,31.9146341463414,31.609756097561,31.1219512195122,30.8658536585366
"2938","Engina_zonalis",31.0126582278481,34.0140845070422,32.2394366197183,34.9014084507042,33.5211267605634
