"","feature","EM_ClimatePriorityArea_velocity_585","EM_ClimatePriorityArea_o2os_585","EM_ClimatePriorityArea_phos_585","EM_ClimatePriorityArea_tos_585"
"451","Amygdalum_sagittatum",5,5,5,5
"452","Anacropora_forbesi",5,5,5,5
"453","Anacropora_puertogalerae",5,5,5,5
"454","Anadara_antiquata",5,5,5,5
"455","Anadara_broughtonii",5,5,5,5
"456","Anadara_uropigimelana",5,5,5,5
"457","Anadara_vellicata",5,5,5,5
"458","Anaitides_madeirensis",5,5,5,5
"459","Anamixilla_torresi",5,5,5,5
"460","Anampses_caeruleopunctatus",5,5,5,5
"461","Anampses_elegans",5,5,5,5
"462","Anampses_femininus",5,5,5,5
"463","Anampses_geographicus",5,5,5,5
"464","Anampses_lineatus",5,5,5,5
"465","Anampses_melanurus",5,5,5,5
"466","Anampses_meleagrides",5,5,5,5
"467","Anampses_neoguinaicus",5,5,5,5
"468","Anampses_twistii",5,5,5,5
"469","Anapagurus_bonnieri",5,5,5,5
"470","Anarchias_allardicei",5,5,5,5
"471","Anarchias_cantonensis",5,5,5,5
"472","Anarchias_leucurus",5,5,5,5
"473","Anarchias_schultzi",5,5,5,5
"474","Anarchias_seychellensis",5,5,5,5
"475","Anatoma_japonica",5,5,5,5
"476","Anatoma_munieri",5,5,5,5
"477","Anchialina_grossa",5,5,5,5
"478","Anchiopontonia_hurii",5,5,5,5
"479","Anchisquilla_chani",5,5,5,5
"480","Anchisquilla_fasciata",5,5,5,5
"481","Anchisquilloides_mcneilli",5,5,5,5
"482","Anchistioides_willeyi",5,5,5,5
"483","Anchistus_australis",5,5,5,5
"484","Anchistus_custoides",5,5,5,5
"485","Anchistus_custos",5,5,5,5
"486","Anchistus_demani",5,5,5,5
"487","Anchistus_gravieri",5,5,5,5
"488","Anchistus_miersi",5,5,5,5
"489","Anchistus_pectinis",5,5,5,5
"490","Anchylomera_blossevillei",5,5,5,5
"491","Ancistrogobius_yanoi",5,5,5,5
"492","Ancistrosyllis_groenlandica",5,5,5,5
"493","Ancistroteuthis_lichtensteini",5,5,5,5
"494","Ancylomenes_holthuisi",5,5,5,5
